experiment,model,batch,context,native_gf,native_splits,qk_tensor_core,native_decode_registers,native_decode_smem_bytes,relative_l2,native_grouping_control_relative_l2,passed,hot_native_us,hot_vllm_us,evicted_native_us,evicted_vllm_us
gemma12-b1-control-r1,gemma12,1,1024,16,132,False,234,41088,3.735986683750525e-05,0.0,True,40.12800008058548,16.367999836802483,41.280001401901245,16.032000072300434
gemma12-b1-control-r1,gemma12,1,4096,16,132,False,234,41088,3.1004248739918694e-05,0.0,True,47.74399846792221,20.800000056624413,48.11199940741062,22.0959996804595
gemma12-b1-control-r1,gemma12,1,8192,16,132,False,234,41088,8.504121069563553e-05,0.0,True,58.559998869895935,26.976000517606735,58.41600149869919,30.367999337613583
gemma12-b1-control-r1,gemma12,1,32768,16,132,False,234,41088,8.143633749568835e-05,0.0,True,117.42400005459785,50.303999334573746,116.97600036859512,53.66399884223938
gemma12-b1-qk-tc-r1,gemma12,1,1024,16,132,True,239,124288,3.453975295997225e-05,1.4239567462936975e-05,True,40.81600159406662,16.335999593138695,41.10400006175041,15.856000129133463
gemma12-b1-qk-tc-r1,gemma12,1,4096,16,132,True,239,124288,3.0301185688585974e-05,8.419679033977445e-06,True,43.74400153756142,20.68800013512373,44.84800063073635,22.0320001244545
gemma12-b1-qk-tc-r1,gemma12,1,8192,16,132,True,239,124288,8.940116822486743e-05,2.9330993129406124e-05,True,48.816001042723656,27.087999507784843,50.56000128388405,30.256000347435474
gemma12-b1-qk-tc-r1,gemma12,1,32768,16,132,True,239,124288,8.030959725147113e-05,9.883616439765319e-05,True,80.01599833369255,50.016000866889954,84.1279998421669,53.648000583052635
gemma12-b4b16-control-r1,gemma12,4,1024,16,33,False,234,41088,0.00012299070658627898,0.0,True,31.536001712083817,17.295999452471733,32.416000962257385,18.623999319970608
gemma12-b4b16-control-r1,gemma12,16,1024,16,33,False,234,41088,0.00023605878232046962,0.0,True,93.35999935865402,30.640000477433205,94.01600062847137,31.120000407099724
gemma12-b4b16-control-r1,gemma12,4,4096,16,33,False,234,41088,0.00010091759031638503,0.0,True,63.00800293684006,25.488000363111496,61.95199862122536,32.03199990093708
gemma12-b4b16-control-r1,gemma12,16,4096,16,33,False,234,41088,0.00020147206669207662,0.0,True,213.20000290870667,66.75199791789055,212.8800004720688,68.15999746322632
gemma12-b4b16-control-r1,gemma12,4,8192,16,33,False,234,41088,0.00015009957132861018,0.0,True,102.12800279259682,44.23999972641468,101.08800232410431,47.040000557899475
gemma12-b4b16-control-r1,gemma12,16,8192,16,33,False,234,41088,0.00019941377104260027,0.0,True,370.5440014600754,110.25600135326385,370.2239990234375,112.04800009727478
gemma12-b4b16-control-r1,gemma12,4,32768,16,33,False,234,41088,0.00024941936135292053,0.0,True,342.01599657535553,109.27999764680862,340.5599892139435,114.3839992582798
gemma12-b4b16-control-r1,gemma12,16,32768,16,33,False,234,41088,0.00022691604681313038,0.0,True,1330.3679823875427,363.0400002002716,1330.5280208587646,362.5759929418564
gemma12-b4b16-qk-tc-r1,gemma12,4,1024,16,33,True,239,124288,7.869854744058102e-05,9.45158171816729e-05,True,28.54400034993887,17.487999983131886,29.632000252604485,18.543999642133713
gemma12-b4b16-qk-tc-r1,gemma12,16,1024,16,33,True,239,124288,0.00024001128622330725,6.203401426319033e-05,True,80.11199906468391,30.80000076442957,81.40800148248672,31.02399967610836
gemma12-b4b16-qk-tc-r1,gemma12,4,4096,16,33,True,239,124288,6.964459316805005e-05,7.616571383550763e-05,True,45.45599967241287,29.67999968677759,46.68800160288811,31.695999205112457
gemma12-b4b16-qk-tc-r1,gemma12,16,4096,16,33,True,239,124288,0.00018218295008409768,9.365303412778303e-05,True,147.5519984960556,63.53599950671196,149.47199821472168,68.39999929070473
gemma12-b4b16-qk-tc-r1,gemma12,4,8192,16,33,True,239,124288,0.0001414793950971216,6.331731856334955e-05,True,65.76000154018402,43.64800080657005,68.35199892520905,46.9760000705719
gemma12-b4b16-qk-tc-r1,gemma12,16,8192,16,33,True,239,124288,0.00019189249724149704,5.9820486058015376e-05,True,222.9439988732338,107.35999792814255,225.37599503993988,111.96799948811531
gemma12-b4b16-qk-tc-r1,gemma12,4,32768,16,33,True,239,124288,0.00024692469742149115,9.159393812296912e-05,True,180.38400262594223,108.64000022411346,184.60799753665924,114.1119971871376
gemma12-b4b16-qk-tc-r1,gemma12,16,32768,16,33,True,239,124288,0.00021913950331509113,7.024317164905369e-05,True,678.0160069465637,358.44799876213074,679.6480119228363,362.38400638103485
gemma31-control-r1,gemma31,1,1024,8,33,False,138,24640,0.0002006630675168708,0.0,True,25.37599951028824,16.783999279141426,26.559999212622643,18.223999999463558
gemma31-control-r1,gemma31,4,1024,8,33,False,138,24640,0.0001845392253017053,0.0,True,62.72000074386597,25.64800065010786,63.35999816656113,30.352000147104263
gemma31-control-r1,gemma31,16,1024,8,33,False,138,24640,0.0003687248972710222,0.0,True,241.8079972267151,66.70400127768517,242.38400161266327,69.77600231766701
gemma31-control-r1,gemma31,1,4096,8,33,False,138,24640,0.00021541709429584444,0.0,True,48.608001321554184,24.320000782608986,47.919999808073044,31.440000981092453
gemma31-control-r1,gemma31,4,4096,8,33,False,138,24640,0.00023823596711736172,0.0,True,150.09599924087524,64.60800021886826,150.25600045919418,67.74400174617767
gemma31-control-r1,gemma31,16,4096,8,33,False,138,24640,0.00034583674278110266,0.0,True,589.1840159893036,194.14400309324265,588.8960063457489,196.6399997472763
gemma31-control-r1,gemma31,1,8192,8,33,False,138,24640,0.0002541221911087632,0.0,True,77.26399973034859,42.54399985074997,76.87999680638313,46.92799970507622
gemma31-control-r1,gemma31,4,8192,8,33,False,138,24640,0.00015183520736172795,0.0,True,264.19198513031006,105.68000003695488,263.8400048017502,110.91200262308121
gemma31-control-r1,gemma31,16,8192,8,33,False,138,24640,0.00039306579856202006,0.0,True,1047.1680164337158,363.3279949426651,1047.9519963264465,365.7120019197464
gemma31-control-r1,gemma31,1,32768,8,33,False,138,24640,9.063593461178243e-05,0.0,True,251.45600736141205,106.9600023329258,250.43199956417084,111.7120012640953
gemma31-control-r1,gemma31,4,32768,8,33,False,138,24640,0.0002239967870991677,0.0,True,954.1600048542023,361.2480014562607,954.8479914665222,362.5599890947342
gemma31-control-r1,gemma31,16,32768,8,33,False,138,24640,0.00035036896588280797,0.0,True,3797.9360818862915,1367.9519891738892,3799.855947494507,1368.4319853782654
gemma31-qk-tc-r1,gemma31,1,1024,8,33,True,128,107840,0.0002003130502998829,1.1711950719472952e-05,True,24.240000173449516,16.912000253796577,24.75199941545725,18.112000077962875
gemma31-qk-tc-r1,gemma31,4,1024,8,33,True,128,107840,0.00018996690050698817,6.005124669172801e-05,True,55.93600124120712,27.63199992477894,58.17599967122078,30.30399978160858
gemma31-qk-tc-r1,gemma31,16,1024,8,33,True,128,107840,0.00036702919169329107,5.907550439587794e-05,True,221.69600427150726,65.5359998345375,224.09600019454956,69.68000158667564
gemma31-qk-tc-r1,gemma31,1,4096,8,33,True,128,107840,0.0002028758462984115,7.43908021831885e-05,True,38.047999143600464,28.176000341773033,40.911998599767685,31.50400146842003
gemma31-qk-tc-r1,gemma31,4,4096,8,33,True,128,107840,0.00022951356368139386,7.137175998650491e-05,True,110.6720007956028,63.98400291800499,114.6400012075901,67.85600259900093
gemma31-qk-tc-r1,gemma31,16,4096,8,33,True,128,107840,0.0003455668920651078,5.8119461755268276e-05,True,400.9760022163391,192.59200245141983,405.2159935235977,196.30400091409683
gemma31-qk-tc-r1,gemma31,1,8192,8,33,True,128,107840,0.00023826891265343875,8.828261343296617e-05,True,56.84800073504448,43.20000112056732,60.95999851822853,46.831998974084854
gemma31-qk-tc-r1,gemma31,4,8192,8,33,True,128,107840,0.0001351479149889201,8.132054790621623e-05,True,173.51999878883362,105.44000193476677,177.50399559736252,109.63200032711029
gemma31-qk-tc-r1,gemma31,16,8192,8,33,True,128,107840,0.0003899824805557728,7.212971104308963e-05,True,649.6799886226654,360.8800023794174,653.3919870853424,365.31201004981995
gemma31-qk-tc-r1,gemma31,1,32768,8,33,True,128,107840,5.290221452014521e-05,7.5128125899937e-05,True,155.2320048213005,105.77600076794624,160.63999384641647,111.7120012640953
gemma31-qk-tc-r1,gemma31,4,32768,8,33,True,128,107840,0.00020899127412121743,0.00010856693552341312,True,566.3520097732544,359.0079993009567,570.8000063896179,363.2959872484207
gemma31-qk-tc-r1,gemma31,16,32768,8,33,True,128,107840,0.0003458110149949789,7.590073073515669e-05,True,2193.935990333557,1365.5840158462524,2194.991946220398,1369.1839575767517
qwen27-control-r1,qwen27,1,1024,6,33,False,113,17472,0.0021878161933273077,0.0,True,17.184000462293625,15.08800033479929,18.0479995906353,15.647999942302704
qwen27-control-r1,qwen27,4,1024,6,33,False,113,17472,0.002144108060747385,0.0,True,40.383998304605484,16.16000011563301,40.911998599767685,20.432000048458576
qwen27-control-r1,qwen27,16,1024,6,33,False,113,17472,0.002173534594476223,0.0,True,136.88000291585922,39.27999921143055,138.91199976205826,42.447999119758606
qwen27-control-r1,qwen27,1,4096,6,33,False,113,17472,0.002174102235585451,0.0,True,30.57599999010563,17.920000478625298,30.704000033438206,21.55200019478798
qwen27-control-r1,qwen27,4,4096,6,33,False,113,17472,0.002148633124306798,0.0,True,89.77599814534187,38.07999938726425,90.87999910116196,42.447999119758606
qwen27-control-r1,qwen27,16,4096,6,33,False,113,17472,0.0021663487423211336,0.0,True,332.71999657154083,103.4879982471466,335.2639973163605,107.56799951195717
qwen27-control-r1,qwen27,1,8192,6,33,False,113,17472,0.0022709867917001247,0.0,True,47.00800031423569,21.536000072956085,46.9760000705719,29.91999965161085
qwen27-control-r1,qwen27,4,8192,6,33,False,113,17472,0.002189111663028598,0.0,True,153.53600680828094,59.07200090587139,154.07999604940414,65.58400020003319
qwen27-control-r1,qwen27,16,8192,6,33,False,113,17472,0.0022223491687327623,0.0,True,584.1760039329529,188.76799941062927,588.5120034217834,192.671999335289
qwen27-control-r1,qwen27,1,32768,6,33,False,113,17472,0.0021347650326788425,0.0,True,144.44800466299057,60.72000041604042,144.19200271368027,68.31999868154526
qwen27-control-r1,qwen27,4,32768,6,33,False,113,17472,0.0022060293704271317,0.0,True,539.4399762153625,185.82399934530258,540.4320061206818,192.87999719381332
qwen27-control-r1,qwen27,16,32768,6,33,False,113,17472,0.002236811211332679,0.0,True,2118.1761026382446,694.3359971046448,2122.1920251846313,698.3680129051208
qwen27-qk-tc-r1,qwen27,1,1024,6,33,True,115,59712,0.0021878168918192387,2.4294701006510877e-07,True,16.912000253796577,15.824000351130962,17.376000061631203,15.87199978530407
qwen27-qk-tc-r1,qwen27,4,1024,6,33,True,115,59712,0.0021440470591187477,1.607674676051829e-05,True,34.25600007176399,16.783999279141426,36.720000207424164,20.256000570952892
qwen27-qk-tc-r1,qwen27,16,1024,6,33,True,115,59712,0.002173531800508499,4.548826836980879e-06,True,122.57600203156471,38.11200149357319,126.46399438381195,42.62400045990944
qwen27-qk-tc-r1,qwen27,1,4096,6,33,True,115,59712,0.0021750451996922493,6.404546729754657e-05,True,22.640000097453594,18.511999398469925,24.36799928545952,21.37599978595972
qwen27-qk-tc-r1,qwen27,4,4096,6,33,True,115,59712,0.002148633124306798,6.8830594557312e-08,True,59.05599892139435,39.03999924659729,64.62400034070015,42.51199960708618
qwen27-qk-tc-r1,qwen27,16,4096,6,33,True,115,59712,0.002166067250072956,3.5807832318823785e-05,True,207.93600380420685,101.55199840664864,212.91200071573257,107.64800012111664
qwen27-qk-tc-r1,qwen27,1,8192,6,33,True,115,59712,0.002271399600431323,4.330217052483931e-05,True,31.279999762773514,24.40000046044588,34.17599946260452,29.37600016593933
qwen27-qk-tc-r1,qwen27,4,8192,6,33,True,115,59712,0.002189111663028598,4.227853978022722e-08,True,90.7839983701706,58.99199843406677,95.551997423172,65.43999910354614
qwen27-qk-tc-r1,qwen27,16,8192,6,33,True,115,59712,0.002222348004579544,1.625122422410641e-05,True,321.5840011835098,186.43200397491455,327.32799649238586,192.56000220775604
qwen27-qk-tc-r1,qwen27,1,32768,6,33,True,115,59712,0.0021347650326788425,0.0,True,77.7439996600151,60.75200065970421,83.72799679636955,67.34399870038033
qwen27-qk-tc-r1,qwen27,4,32768,6,33,True,115,59712,0.0022060293704271317,8.593903544351633e-08,True,266.00000262260437,185.88799983263016,271.42399549484253,193.15199553966522
qwen27-qk-tc-r1,qwen27,16,32768,6,33,True,115,59712,0.0022368228528648615,7.07862272975035e-06,True,1018.1120038032532,692.1600103378296,1020.7520127296448,697.6639926433563
gemma12-b1-short-current-r1,gemma12,1,1024,4,33,False,82,16448,3.735986683750525e-05,0.0,True,21.487999707460403,16.767999157309532,22.943999618291855,15.872000716626644
gemma12-b1-short-current-r1,gemma12,1,4096,4,33,False,82,16448,3.1004248739918694e-05,0.0,True,43.91999915242195,21.199999377131462,44.415999203920364,22.160000167787075
gemma12-b1-qk-tc-r2,gemma12,1,1024,16,132,True,239,124288,3.453975295997225e-05,1.4239567462936975e-05,True,41.16800054907799,16.479999758303165,41.26400128006935,16.224000602960587
gemma12-b1-qk-tc-r2,gemma12,1,4096,16,132,True,239,124288,3.0301185688585974e-05,8.419679033977445e-06,True,43.82400028407574,20.8320003002882,44.8479987680912,21.983999758958817
gemma12-b1-qk-tc-r2,gemma12,1,8192,16,132,True,239,124288,8.940116822486743e-05,2.9330993129406124e-05,True,48.94400015473366,27.424000203609467,50.383999943733215,30.41600063443184
gemma12-b1-qk-tc-r2,gemma12,1,32768,16,132,True,239,124288,8.030959725147113e-05,9.883616439765319e-05,True,80.09600266814232,50.31999945640564,84.17600020766258,53.92000079154968
gemma12-b1-control-r2,gemma12,1,1024,16,132,False,234,41088,3.735986683750525e-05,0.0,True,40.192000567913055,16.64000004529953,40.41600041091442,16.35199971497059
gemma12-b1-control-r2,gemma12,1,4096,16,132,False,234,41088,3.1004248739918694e-05,0.0,True,47.69599996507168,21.391999907791615,48.288000747561455,22.192000411450863
gemma12-b1-control-r2,gemma12,1,8192,16,132,False,234,41088,8.504121069563553e-05,0.0,True,58.19199979305267,27.248000726103783,58.44799987971783,30.30399978160858
gemma12-b1-control-r2,gemma12,1,32768,16,132,False,234,41088,8.143633749568835e-05,0.0,True,117.69600212574005,52.27200128138065,117.0239970088005,54.23999950289726
gemma12-b4b16-qk-tc-r2,gemma12,4,1024,16,33,True,239,124288,7.869854744058102e-05,9.45158171816729e-05,True,28.55999954044819,17.08799973130226,29.120000079274178,18.831999972462654
gemma12-b4b16-qk-tc-r2,gemma12,16,1024,16,33,True,239,124288,0.00024001128622330725,6.203401426319033e-05,True,79.00800183415413,30.799999833106995,80.9439979493618,31.231999397277832
gemma12-b4b16-qk-tc-r2,gemma12,4,4096,16,33,True,239,124288,6.964459316805005e-05,7.616571383550763e-05,True,43.376000598073006,30.76800052076578,46.22399993240833,31.90400078892708
gemma12-b4b16-qk-tc-r2,gemma12,16,4096,16,33,True,239,124288,0.00018218295008409768,9.365303412778303e-05,True,145.4240009188652,63.98400291800499,149.29600059986115,68.00000369548798
gemma12-b4b16-qk-tc-r2,gemma12,4,8192,16,33,True,239,124288,0.0001414793950971216,6.331731856334955e-05,True,64.7520013153553,42.94399917125702,68.57600063085556,47.02400043606758
gemma12-b4b16-qk-tc-r2,gemma12,16,8192,16,33,True,239,124288,0.00019189249724149704,5.9820486058015376e-05,True,222.31999784708023,106.65600001811981,225.18400102853775,111.7440015077591
gemma12-b4b16-qk-tc-r2,gemma12,4,32768,16,33,True,239,124288,0.00024692469742149115,9.159393812296912e-05,True,180.1760047674179,108.83200168609619,184.35200303792953,113.840002566576
gemma12-b4b16-qk-tc-r2,gemma12,16,32768,16,33,True,239,124288,0.00021913950331509113,7.024317164905369e-05,True,675.3920018672943,357.5199991464615,676.9120097160339,362.12800443172455
gemma12-b4b16-control-r2,gemma12,4,1024,16,33,False,234,41088,0.00012299070658627898,0.0,True,32.07999840378761,17.727999947965145,32.15999901294708,18.943999893963337
gemma12-b4b16-control-r2,gemma12,16,1024,16,33,False,234,41088,0.00023605878232046962,0.0,True,93.61599758267403,31.18399903178215,94.01600062847137,30.86400032043457
gemma12-b4b16-control-r2,gemma12,4,4096,16,33,False,234,41088,0.00010091759031638503,0.0,True,63.10399994254112,27.231999672949314,61.80799938738346,31.856000423431396
gemma12-b4b16-control-r2,gemma12,16,4096,16,33,False,234,41088,0.00020147206669207662,0.0,True,213.0879983305931,67.50399991869926,212.5759944319725,67.88800284266472
gemma12-b4b16-control-r2,gemma12,4,8192,16,33,False,234,41088,0.00015009957132861018,0.0,True,102.49599814414978,44.56000030040741,100.60799866914749,47.15200141072273
gemma12-b4b16-control-r2,gemma12,16,8192,16,33,False,234,41088,0.00019941377104260027,0.0,True,370.4800009727478,111.69600114226341,370.12800574302673,112.17599734663963
gemma12-b4b16-control-r2,gemma12,4,32768,16,33,False,234,41088,0.00024941936135292053,0.0,True,342.5440043210983,109.56799983978271,340.7039940357208,114.06399682164192
gemma12-b4b16-control-r2,gemma12,16,32768,16,33,False,234,41088,0.00022691604681313038,0.0,True,1329.3760418891907,361.31200194358826,1329.360008239746,361.9519919157028
gemma31-qk-tc-r2,gemma31,1,1024,8,33,True,128,107840,0.0002003130502998829,1.1711950719472952e-05,True,23.984000086784363,17.424000427126884,24.431999772787094,18.5120003297925
gemma31-qk-tc-r2,gemma31,4,1024,8,33,True,128,107840,0.00018996690050698817,6.005124669172801e-05,True,55.04000000655651,28.9920000359416,57.840000838041306,30.432000756263733
gemma31-qk-tc-r2,gemma31,16,1024,8,33,True,128,107840,0.00036702919169329107,5.907550439587794e-05,True,220.20799666643143,64.67200070619583,223.92000257968903,69.91999968886375
gemma31-qk-tc-r2,gemma31,1,4096,8,33,True,128,107840,0.0002028758462984115,7.43908021831885e-05,True,36.59199923276901,29.85600009560585,40.62400013208389,31.10400028526783
gemma31-qk-tc-r2,gemma31,4,4096,8,33,True,128,107840,0.00022951356368139386,7.137175998650491e-05,True,110.30399799346924,63.29599767923355,114.30399864912033,67.34399870038033
gemma31-qk-tc-r2,gemma31,16,4096,8,33,True,128,107840,0.0003455668920651078,5.8119461755268276e-05,True,399.6639996767044,192.160002887249,403.29599380493164,196.60800695419312
gemma31-qk-tc-r2,gemma31,1,8192,8,33,True,128,107840,0.00023826891265343875,8.828261343296617e-05,True,54.38400059938431,43.31200011074543,60.864001512527466,46.38399928808212
gemma31-qk-tc-r2,gemma31,4,8192,8,33,True,128,107840,0.0001351479149889201,8.132054790621623e-05,True,172.8000044822693,104.39999774098396,177.43999511003494,109.02399942278862
gemma31-qk-tc-r2,gemma31,16,8192,8,33,True,128,107840,0.0003899824805557728,7.212971104308963e-05,True,651.6960263252258,361.63200438022614,651.168018579483,365.83998799324036
gemma31-qk-tc-r2,gemma31,1,32768,8,33,True,128,107840,5.290221452014521e-05,7.5128125899937e-05,True,155.58400005102158,106.35199770331383,160.73599457740784,111.92000284790993
gemma31-qk-tc-r2,gemma31,4,32768,8,33,True,128,107840,0.00020899127412121743,0.00010856693552341312,True,566.3840174674988,358.17600786685944,570.8319842815399,362.14399337768555
gemma31-qk-tc-r2,gemma31,16,32768,8,33,True,128,107840,0.0003458110149949789,7.590073073515669e-05,True,2191.536068916321,1366.0480380058289,2192.7679777145386,1368.5759902000427
gemma31-control-r2,gemma31,1,1024,8,33,False,138,24640,0.0002006630675168708,0.0,True,25.296000763773918,16.543999314308167,26.399999856948853,18.76799948513508
gemma31-control-r2,gemma31,4,1024,8,33,False,138,24640,0.0001845392253017053,0.0,True,62.960002571344376,26.800000108778477,63.56799975037575,30.319999903440475
gemma31-control-r2,gemma31,16,1024,8,33,False,138,24640,0.0003687248972710222,0.0,True,241.82399362325668,67.29599833488464,242.95999854803085,69.64800134301186
gemma31-control-r2,gemma31,1,4096,8,33,False,138,24640,0.00021541709429584444,0.0,True,47.29599878191948,23.599999956786633,48.19200001657009,31.520001590251923
gemma31-control-r2,gemma31,4,4096,8,33,False,138,24640,0.00023823596711736172,0.0,True,149.6639996767044,64.80000168085098,150.25600045919418,67.391999065876
gemma31-control-r2,gemma31,16,4096,8,33,False,138,24640,0.00034583674278110266,0.0,True,588.3679986000061,195.2959969639778,589.0879929065704,196.80000096559525
gemma31-control-r2,gemma31,1,8192,8,33,False,138,24640,0.0002541221911087632,0.0,True,77.2159993648529,43.43999922275543,76.87999680638313,47.18399979174137
gemma31-control-r2,gemma31,4,8192,8,33,False,138,24640,0.00015183520736172795,0.0,True,264.3359899520874,105.84000125527382,264.0160024166107,110.68800091743469
gemma31-control-r2,gemma31,16,8192,8,33,False,138,24640,0.00039306579856202006,0.0,True,1047.2000241279602,363.44000697135925,1047.8560328483582,365.6960129737854
gemma31-control-r2,gemma31,1,32768,8,33,False,138,24640,9.063593461178243e-05,0.0,True,251.18400156497955,105.34399747848511,250.35201013088226,111.9840033352375
gemma31-control-r2,gemma31,4,32768,8,33,False,138,24640,0.0002239967870991677,0.0,True,953.9999961853027,360.6240004301071,955.1039934158325,362.7520054578781
gemma31-control-r2,gemma31,16,32768,8,33,False,138,24640,0.00035036896588280797,0.0,True,3796.6240644454956,1368.5439825057983,3798.975944519043,1368.9919710159302
qwen27-qk-tc-r2,qwen27,1,1024,6,33,True,115,59712,0.0021878168918192387,2.4294701006510877e-07,True,16.96000061929226,15.792000107467175,17.184000462293625,15.647999942302704
qwen27-qk-tc-r2,qwen27,4,1024,6,33,True,115,59712,0.0021440470591187477,1.607674676051829e-05,True,34.65599939227104,17.008000053465366,36.559998989105225,19.999999552965164
qwen27-qk-tc-r2,qwen27,16,1024,6,33,True,115,59712,0.002173531800508499,4.548826836980879e-06,True,122.46400117874146,39.08799961209297,125.61599910259247,42.320000007748604
qwen27-qk-tc-r2,qwen27,1,4096,6,33,True,115,59712,0.0021750451996922493,6.404546729754657e-05,True,22.70400058478117,18.73599924147129,24.224000051617622,21.296000108122826
qwen27-qk-tc-r2,qwen27,4,4096,6,33,True,115,59712,0.002148633124306798,6.8830594557312e-08,True,58.86399932205677,38.575999438762665,64.52799960970879,42.35200025141239
qwen27-qk-tc-r2,qwen27,16,4096,6,33,True,115,59712,0.002166067250072956,3.5807832318823785e-05,True,208.46400409936905,101.1200025677681,212.67200261354446,107.71200060844421
qwen27-qk-tc-r2,qwen27,1,8192,6,33,True,115,59712,0.002271399600431323,4.330217052483931e-05,True,30.84800112992525,25.90399980545044,34.143999218940735,29.440000653266907
qwen27-qk-tc-r2,qwen27,4,8192,6,33,True,115,59712,0.002189111663028598,4.227853978022722e-08,True,90.7519981265068,58.6559996008873,95.75999900698662,65.47199934720993
qwen27-qk-tc-r2,qwen27,16,8192,6,33,True,115,59712,0.002222348004579544,1.625122422410641e-05,True,321.600005030632,186.49600446224213,326.1120021343231,192.89599359035492
qwen27-qk-tc-r2,qwen27,1,32768,6,33,True,115,59712,0.0021347650326788425,0.0,True,77.61600241065025,61.039999127388,83.42400193214417,68.09599697589874
