model,batch,context,native_gf,native_splits,native_grouping_control_exact,relative_l2,hot_native_us,hot_vllm_us,evicted_native_us,evicted_vllm_us,experiment,arm,repeat
gemma12,1,1024,16,132,True,3.735986683750525e-05,39.93599861860275,16.063999384641647,41.1360003054142,16.01599995046854,gemma12-candidate-b1-r1,candidate,1
gemma12,1,4096,16,132,True,3.1004248739918694e-05,47.61600121855736,20.44800017029047,47.69599996507168,21.887999959290028,gemma12-candidate-b1-r1,candidate,1
gemma12,1,8192,16,132,True,8.504121069563553e-05,58.22400003671646,26.704000309109688,57.8560009598732,30.047999694943428,gemma12-candidate-b1-r1,candidate,1
gemma12,1,32768,16,132,True,8.143633749568835e-05,117.27999895811081,50.57600140571594,116.44800007343292,53.93599905073643,gemma12-candidate-b1-r1,candidate,1
gemma12,1,1024,16,132,True,3.735986683750525e-05,39.69600051641464,16.24000072479248,39.77599926292896,16.1920003592968,gemma12-candidate-b1-r2,candidate,2
gemma12,1,4096,16,132,True,3.1004248739918694e-05,47.5040003657341,20.368000492453575,47.760000452399254,21.91999927163124,gemma12-candidate-b1-r2,candidate,2
gemma12,1,8192,16,132,True,8.504121069563553e-05,58.111999183893204,26.84800047427416,57.72799998521805,30.17600066959858,gemma12-candidate-b1-r2,candidate,2
gemma12,1,32768,16,132,True,8.143633749568835e-05,117.15199798345566,50.416000187397,116.67200177907944,53.74399945139885,gemma12-candidate-b1-r2,candidate,2
gemma12,4,1024,16,33,True,0.00012299070658627898,31.66399896144867,17.008000053465366,32.336000353097916,18.80000066012144,gemma12-candidate-b4b16-r1,candidate,1
gemma12,16,1024,16,33,True,0.00023605878232046962,93.04000064730644,30.81599995493889,94.25600245594978,30.767999589443207,gemma12-candidate-b4b16-r1,candidate,1
gemma12,4,4096,16,33,True,0.00010091759031638503,62.224000692367554,26.52799990028143,61.48799881339073,31.999999657273293,gemma12-candidate-b4b16-r1,candidate,1
gemma12,16,4096,16,33,True,0.00020147206669207662,212.35200017690659,65.74400141835213,212.68799901008606,68.4799998998642,gemma12-candidate-b4b16-r1,candidate,1
gemma12,4,8192,16,33,True,0.00015009957132861018,101.50399804115295,43.47200132906437,100.54399818181992,47.08800092339516,gemma12-candidate-b4b16-r1,candidate,1
gemma12,16,8192,16,33,True,0.00019941377104260027,370.2560067176819,109.02399942278862,369.6479946374893,112.09600046277046,gemma12-candidate-b4b16-r1,candidate,1
gemma12,4,32768,16,33,True,0.00024941936135292053,340.68799018859863,109.02399942278862,340.38400650024414,114.3679991364479,gemma12-candidate-b4b16-r1,candidate,1
gemma12,16,32768,16,33,True,0.00022691604681313038,1327.5840282440186,361.64799332618713,1329.759955406189,362.4960035085678,gemma12-candidate-b4b16-r1,candidate,1
gemma12,4,1024,16,33,True,0.00012299070658627898,31.599998474121094,16.96000061929226,32.336000353097916,19.07200086861849,gemma12-candidate-b4b16-r2,candidate,2
gemma12,16,1024,16,33,True,0.00023605878232046962,93.21600198745728,30.496000312268734,94.33600306510925,31.3120000064373,gemma12-candidate-b4b16-r2,candidate,2
gemma12,4,4096,16,33,True,0.00010091759031638503,62.44799867272377,27.168000116944313,61.71200051903725,31.984001398086548,gemma12-candidate-b4b16-r2,candidate,2
gemma12,16,4096,16,33,True,0.00020147206669207662,213.1360024213791,67.50399991869926,212.68799901008606,68.31999868154526,gemma12-candidate-b4b16-r2,candidate,2
gemma12,4,8192,16,33,True,0.00015009957132861018,101.77600011229515,43.9200010150671,101.26399993896484,47.42399975657463,gemma12-candidate-b4b16-r2,candidate,2
gemma12,16,8192,16,33,True,0.00019941377104260027,370.9919899702072,110.59200018644333,370.09599804878235,112.28799819946289,gemma12-candidate-b4b16-r2,candidate,2
gemma12,4,32768,16,33,True,0.00024941936135292053,341.40799939632416,109.45599898695946,340.68799018859863,113.8560026884079,gemma12-candidate-b4b16-r2,candidate,2
gemma12,16,32768,16,33,True,0.00022691604681313038,1329.5680284500122,362.5440001487732,1329.807996749878,361.84000968933105,gemma12-candidate-b4b16-r2,candidate,2
gemma12,1,1024,4,33,True,3.735986683750525e-05,20.99199965596199,16.16000011563301,22.895999252796173,16.127999871969223,gemma12-control-r1,control,1
gemma12,4,1024,4,33,True,0.00018609434482641518,51.69599875807762,16.800000332295895,54.46400120854378,19.023999571800232,gemma12-control-r1,control,1
gemma12,16,1024,4,33,True,0.0002452894696034491,177.75999754667282,30.03200050443411,181.42399936914444,31.120000407099724,gemma12-control-r1,control,1
gemma12,1,4096,4,33,True,7.269766501849517e-05,43.43999922275543,20.479999482631683,44.463999569416046,22.14400004595518,gemma12-control-r1,control,1
gemma12,4,4096,4,33,True,0.00016317782865371555,136.08000427484512,27.072000317275524,137.5040039420128,32.46400132775307,gemma12-control-r1,control,1
gemma12,16,4096,4,33,True,0.0002481610281392932,509.0720057487488,65.93599915504456,513.5040283203125,67.96800345182419,gemma12-control-r1,control,1
gemma12,1,8192,4,33,True,5.635537308990024e-05,71.24799862504005,26.415999978780746,72.30399921536446,30.079999938607216,gemma12-control-r1,control,1
gemma12,4,8192,4,33,True,9.710412996355444e-05,252.87999212741852,44.20799948275089,244.91199851036072,47.21600003540516,gemma12-control-r1,control,1
gemma12,16,8192,4,33,True,0.0001788907393347472,938.2400214672089,109.74400117993355,944.128006696701,112.20799759030342,gemma12-control-r1,control,1
gemma12,1,32768,4,33,True,3.421155997784808e-05,235.4080006480217,49.984000623226166,235.4400008916855,54.09599840641022,gemma12-control-r1,control,1
gemma12,4,32768,4,33,True,0.00011681297473842278,935.3280067443848,109.98399928212166,899.5200097560883,113.0560003221035,gemma12-control-r1,control,1
gemma12,16,32768,4,33,True,0.0002534710511099547,3557.808041572571,362.39999532699585,3560.544013977051,362.064003944397,gemma12-control-r1,control,1
gemma12,1,1024,4,33,True,3.735986683750525e-05,21.104000508785248,16.3199994713068,22.735999897122383,16.01599995046854,gemma12-control-r2,control,2
gemma12,4,1024,4,33,True,0.00018609434482641518,52.36800014972687,16.944000497460365,54.15999889373779,18.352000042796135,gemma12-control-r2,control,2
gemma12,16,1024,4,33,True,0.0002452894696034491,178.19199711084366,30.576000921428204,181.2319979071617,30.912000685930252,gemma12-control-r2,control,2
gemma12,1,4096,4,33,True,7.269766501849517e-05,43.79200004041195,20.927999168634415,44.38399896025658,22.016000002622604,gemma12-control-r2,control,2
gemma12,4,4096,4,33,True,0.00016317782865371555,136.6560012102127,26.544000022113323,137.91999965906143,31.82400017976761,gemma12-control-r2,control,2
gemma12,16,4096,4,33,True,0.0002481610281392932,509.7919702529907,68.03200021386147,513.9839947223663,68.11199709773064,gemma12-control-r2,control,2
gemma12,1,8192,4,33,True,5.635537308990024e-05,71.58400118350983,26.623999699950218,71.87200337648392,29.85600009560585,gemma12-control-r2,control,2
gemma12,4,8192,4,33,True,9.710412996355444e-05,244.38399821519852,44.23999972641468,244.7040006518364,46.84799909591675,gemma12-control-r2,control,2
gemma12,16,8192,4,33,True,0.0001788907393347472,939.2319917678833,111.50399968028069,943.9679980278015,111.95200309157372,gemma12-control-r2,control,2
gemma12,1,32768,4,33,True,3.421155997784808e-05,235.3919968008995,50.64000003039837,234.99199748039246,54.17599901556969,gemma12-control-r2,control,2
gemma12,4,32768,4,33,True,0.00011681297473842278,897.9040086269379,111.27999797463417,898.1920182704926,113.08800056576729,gemma12-control-r2,control,2
gemma12,16,32768,4,33,True,0.0002534710511099547,3557.728052139282,364.20799791812897,3557.87193775177,362.60800063610077,gemma12-control-r2,control,2
gemma31,1,1024,8,33,True,0.0002006630675168708,25.824000127613544,17.136000096797943,26.159999892115593,18.400000408291817,gemma31-candidate-r1,candidate,1
gemma31,4,1024,8,33,True,0.0001845392253017053,62.99200281500816,25.696000084280968,63.34399804472923,30.192000791430473,gemma31-candidate-r1,candidate,1
gemma31,16,1024,8,33,True,0.0003687248972710222,241.85600131750107,67.61600077152252,242.51199513673782,69.71200183033943,gemma31-candidate-r1,candidate,1
gemma31,1,4096,8,33,True,0.00021541709429584444,48.287998884916306,24.65599961578846,47.93599992990494,31.168000772595406,gemma31-candidate-r1,candidate,1
