model,batch,context,native_gf,native_splits,native_work_items,native_grouping_control_exact,relative_l2,hot_native_us,hot_vllm_us,evicted_native_us,evicted_vllm_us,experiment,screen
gemma12,1,1,16,132,132,True,0.0,37.91999816894531,15.039999969303608,38.62399980425835,11.296000331640244,gemma12-gf16-quick,False
gemma12,4,1,16,33,132,True,0.0,23.552000522613525,13.952000066637993,22.463999688625336,11.008000001311302,gemma12-gf16-quick,False
gemma12,16,1,16,9,144,True,0.0,28.831999748945236,14.84800036996603,31.199999153614044,11.264000087976456,gemma12-gf16-quick,False
gemma12,1,65,16,132,132,True,0.0005426302668638527,39.16800022125244,17.184000462293625,38.336001336574554,14.655999839305878,gemma12-gf16-quick,False
gemma12,4,65,16,33,132,True,0.0005935293738730252,24.992000311613083,15.32800029963255,28.192000463604927,15.072000212967396,gemma12-gf16-quick,False
gemma12,16,65,16,9,144,True,0.0006055680569261312,32.92800113558769,16.416000202298164,38.52799907326698,15.71200042963028,gemma12-gf16-quick,False
gemma12,1,1024,16,132,132,True,0.00032632099464535713,41.79200157523155,17.472000792622566,42.14400053024292,16.672000288963318,gemma12-gf16-quick,False
gemma12,4,1024,16,33,132,True,0.00014669608208350837,32.51200169324875,18.624000251293182,32.416000962257385,19.168000668287277,gemma12-gf16-quick,False
gemma12,16,1024,16,9,144,True,0.0001952815509866923,107.16799646615982,30.112000182271004,105.76000064611435,31.520001590251923,gemma12-gf16-quick,False
gemma31,1,1,8,33,132,True,0.0,20.735999569296837,13.535999692976475,19.648000597953796,11.615999974310398,gemma31-gf8-quick,False
gemma31,4,1,8,9,144,True,0.0,19.1040001809597,13.248000293970108,19.29599978029728,10.944000445306301,gemma31-gf8-quick,False
gemma31,16,1,8,3,192,True,0.0,25.66399984061718,13.791999779641628,25.79200081527233,11.455999687314034,gemma31-gf8-quick,False
gemma31,1,65,8,33,132,True,0.000488448713440448,20.576000213623047,16.3199994713068,20.320000126957893,15.135999768972397,gemma31-gf8-quick,False
gemma31,4,65,8,9,144,True,0.0005099885165691376,22.655999287962914,16.51199907064438,24.09599907696247,15.71200042963028,gemma31-gf8-quick,False
gemma31,16,65,8,3,192,True,0.0004899209598079324,35.42400151491165,17.88800023496151,35.711999982595444,17.952000722289085,gemma31-gf8-quick,False
gemma31,1,1024,8,33,132,True,0.00011965906014665961,26.59199945628643,18.464000895619392,26.1439997702837,19.039999693632126,gemma31-gf8-quick,False
gemma31,4,1024,8,9,144,True,0.00029573863139376044,73.15199822187424,22.36800082027912,72.83200323581696,30.62400035560131,gemma31-gf8-quick,False
gemma31,16,1024,8,3,192,True,0.0004353043041191995,182.75199830532074,66.68800115585327,182.27200210094452,69.11999732255936,gemma31-gf8-quick,False
qwen27,1,1,6,33,132,True,0.0,14.911999925971031,14.655999839305878,14.14399966597557,12.44799979031086,qwen27-gf6-quick,False
qwen27,4,1,6,9,144,True,0.0,15.231999568641186,14.015999622642994,14.783999882638454,12.415999546647072,qwen27-gf6-quick,False
qwen27,16,1,6,3,192,True,0.0,18.688000738620758,14.720000326633453,18.079999834299088,12.768000364303589,qwen27-gf6-quick,False
qwen27,1,65,6,33,132,True,0.0022033648565411568,14.399999752640724,14.4640002399683,14.271999709308147,12.191999703645706,qwen27-gf6-quick,False
qwen27,4,65,6,9,144,True,0.002187957987189293,17.632000148296356,14.015999622642994,17.08799973130226,12.575999833643436,qwen27-gf6-quick,False
qwen27,16,65,6,3,192,True,0.0021641564089804888,23.32800067961216,14.112000353634357,24.224000051617622,13.919999822974205,qwen27-gf6-quick,False
qwen27,1,1024,6,33,132,True,0.0021328867878764868,18.112000077962875,17.023999243974686,18.015999346971512,15.647999942302704,qwen27-gf6-quick,False
qwen27,4,1024,6,9,144,True,0.0021744726691395044,45.85599899291992,17.696000635623932,45.152001082897186,20.896000787615776,qwen27-gf6-quick,False
qwen27,16,1024,6,3,192,True,0.0021659869235008955,107.4879989027977,39.23200070858002,106.23999685049057,42.4639992415905,qwen27-gf6-quick,False
gemma12,1,32768,4,33,132,True,0.0002796733460854739,235.31199991703033,50.83199962973595,235.34400016069412,53.90400066971779,gemma12-gf4-baseline,True
gemma12,4,32768,4,33,528,True,0.00014569387712981552,899.1359770298004,110.68800091743469,898.0000019073486,113.27999830245972,gemma12-gf4-baseline,True
gemma12,16,32768,4,33,2112,True,0.0002693455317057669,3559.167981147766,362.0160073041916,3559.391975402832,362.9920035600662,gemma12-gf4-baseline,True
gemma12,1,32768,4,33,132,True,0.0002796733460854739,236.4960014820099,51.68000049889088,234.97599363327026,54.03200164437294,gemma12-gf4-fill,True
gemma12,4,32768,4,9,144,True,0.000146419188240543,1704.1760087013245,109.3440018594265,1679.4400215148926,113.56800049543381,gemma12-gf4-fill,True
gemma12,16,32768,4,3,192,True,0.00026934550260193646,5088.992118835449,359.3920022249222,5086.079835891724,362.63999342918396,gemma12-gf4-fill,True
gemma12,1,32768,8,33,66,True,0.0002796733460854739,243.3439940214157,51.023999229073524,241.2640005350113,53.84000018239021,gemma12-gf8-baseline,True
gemma12,4,32768,8,33,264,True,0.00014569387712981552,477.4879962205887,111.29600182175636,473.93599152565,113.71200159192085,gemma12-gf8-baseline,True
gemma12,16,32768,8,33,1056,True,0.0002693455317057669,1856.7839860916138,361.03999614715576,1860.480010509491,362.527996301651,gemma12-gf8-baseline,True
gemma12,1,32768,8,66,132,True,0.0002796733460854739,137.77600228786469,50.463998690247536,136.84800267219543,54.03199978172779,gemma12-gf8-fill,True
gemma12,4,32768,8,17,136,True,0.00014569387712981552,895.2159881591797,109.13600027561188,888.6240124702454,113.8560026884079,gemma12-gf8-fill,True
gemma12,16,32768,8,5,160,True,0.0002689310349524021,2993.9199686050415,359.0880036354065,2992.703914642334,362.2879981994629,gemma12-gf8-fill,True
gemma12,1,32768,16,33,33,True,0.0002796733460854739,337.6320004463196,50.48000067472458,336.92800998687744,53.98399941623211,gemma12-gf16-baseline,True
gemma12,4,32768,16,33,132,True,0.00014569387712981552,341.824010014534,108.95999893546104,340.15999734401703,114.30399864912033,gemma12-gf16-baseline,True
gemma12,16,32768,16,33,528,True,0.0002693455317057669,1328.0159831047058,364.47998881340027,1330.1439881324768,363.15199732780457,gemma12-gf16-baseline,True
gemma12,1,32768,16,132,132,True,0.0002796733460854739,118.46400052309036,51.023999229073524,117.11999773979187,54.11199852824211,gemma12-gf16-fill,True
gemma12,4,32768,16,33,132,True,0.00014569387712981552,342.46399998664856,108.71999710798264,340.4799997806549,113.18399757146835,gemma12-gf16-fill,True
gemma12,16,32768,16,9,144,True,0.00026893094764091074,2348.9279747009277,360.3839874267578,2350.3201007843018,362.4640107154846,gemma12-gf16-fill,True
gemma31,1,32768,4,33,264,True,0.00029958385857753456,482.4320077896118,107.999999076128,483.8559925556183,110.89599877595901,gemma31-gf4-baseline,True
gemma31,4,32768,4,33,1056,True,0.00022833934053778648,1894.6080207824707,361.4399880170822,1895.408034324646,364.23999071121216,gemma31-gf4-baseline,True
gemma31,16,32768,4,33,4224,True,0.00040641354280523956,7571.264028549194,1370.303988456726,7558.016061782837,1369.0239787101746,gemma31-gf4-baseline,True
gemma31,1,32768,4,17,136,True,0.0003027474449481815,916.4479970932007,106.86400160193443,893.9520120620728,113.26399818062782,gemma31-gf4-fill,True
gemma31,4,32768,4,5,160,True,0.00022474658908322453,3073.66406917572,359.2960089445114,3068.511962890625,362.5600039958954,gemma31-gf4-fill,True
gemma31,16,32768,4,2,256,True,0.0004064474778715521,7721.07195854187,1366.3520216941833,7715.535879135132,1368.8000440597534,gemma31-gf4-fill,True
gemma31,1,32768,8,33,132,True,0.00029958385857753456,250.17599761486053,106.73600062727928,249.55199658870697,112.62400075793266,gemma31-gf8-baseline,True
gemma31,4,32768,8,33,528,True,0.00022833934053778648,955.9839963912964,362.43200302124023,955.7119905948639,362.94400691986084,gemma31-gf8-baseline,True
gemma31,16,32768,8,33,2112,True,0.00040641354280523956,3797.0720529556274,1370.4160451889038,3800.320029258728,1369.5520162582397,gemma31-gf8-baseline,True
gemma31,1,32768,8,33,132,True,0.00029958385857753456,251.52000784873962,106.65600001811981,250.38398802280426,112.35199868679047,gemma31-gf8-fill,True
gemma31,4,32768,8,9,144,True,0.00022928789258003235,1688.1759762763977,359.935998916626,1686.1760020256042,363.7760132551193,gemma31-gf8-fill,True
gemma31,16,32768,8,3,192,True,0.00040646400884725153,5053.776025772095,1367.8399920463562,5042.943954467773,1369.9840307235718,gemma31-gf8-fill,True
qwen27,1,32768,2,11,132,True,0.002212527208030224,348.703995347023,62.99200281500816,347.7119952440262,68.43199953436852,qwen27-gf2-baseline,True
qwen27,4,32768,2,11,528,True,0.00218112557195127,1361.743986606598,186.78399920463562,1363.8079762458801,192.36800074577332,qwen27-gf2-baseline,True
qwen27,16,32768,2,11,2112,True,0.002204341348260641,5441.744089126587,694.8480010032654,5445.503950119019,698.5439956188202,qwen27-gf2-baseline,True
qwen27,1,32768,2,11,132,True,0.002212527208030224,348.38399291038513,60.75200065970421,348.6559987068176,68.2080015540123,qwen27-gf2-fill,True
qwen27,4,32768,2,3,144,True,0.002181529300287366,2485.0560426712036,186.5760013461113,2485.568046569824,193.13599914312363,qwen27-gf2-fill,True
qwen27,16,32768,2,1,192,True,0.002204976975917816,7439.42403793335,693.1520104408264,7428.416013717651,698.5439956188202,qwen27-gf2-fill,True
qwen27,1,32768,6,11,44,True,0.002212527208030224,390.9280002117157,61.88799999654293,390.6559944152832,68.7360018491745,qwen27-gf6-baseline,True
qwen27,4,32768,6,11,176,True,0.00218112557195127,782.5599908828735,187.42400407791138,781.0080051422119,193.13599914312363,qwen27-gf6-baseline,True
qwen27,16,32768,6,11,704,True,0.002204341348260641,2322.4319219589233,695.1200067996979,2329.087972640991,697.9840099811554,qwen27-gf6-baseline,True
qwen27,1,32768,6,33,132,True,0.002212445717304945,144.84800398349762,61.61599978804588,144.43200081586838,68.36799904704094,qwen27-gf6-fill,True
qwen27,4,32768,6,9,144,True,0.002181715564802289,947.7440118789673,187.50400096178055,946.863979101181,192.81599670648575,qwen27-gf6-fill,True
qwen27,16,32768,6,3,192,True,0.0022049425169825554,2821.8239545822144,691.5519833564758,2821.936011314392,697.8880167007446,qwen27-gf6-fill,True
