model,kind,phase,batch,query_rows,context,head_dim,q_heads,kv_heads,native_gf,native_splits,fa_version,relative_l2,passed,hot_native_us,hot_vllm_us,evicted_native_us,evicted_vllm_us,native_over_library
gemma12,sliding,decode,1,1,1024,256,16,8,2,17,4,0.00010851003025891259,True,27.712000533938408,17.35999993979931,28.224000707268715,17.664000391960144,1.597826091541246
gemma12,sliding,decode,4,1,1024,256,16,8,2,17,4,0.000440416595665738,True,57.69599974155426,21.808000281453133,57.920001447200775,27.488000690937042,2.1071012802432496
gemma12,sliding,decode,16,1,1024,256,16,8,2,17,4,0.000559660722501576,True,173.68000000715256,55.52000179886818,176.4959990978241,61.87199987471104,2.8525989050818343
gemma12,sliding,decode,1,1,4096,256,16,8,2,17,4,6.233723979676142e-05,True,28.272000141441822,17.008000053465366,27.83999964594841,17.664000391960144,1.5760869015050476
gemma12,sliding,decode,4,1,4096,256,16,8,2,17,4,0.00034226890420541167,True,57.64799937605858,21.136000752449036,58.60799923539162,27.552000246942043,2.1271776535315774
gemma12,sliding,decode,16,1,4096,256,16,8,2,17,4,0.0005628496292047203,True,173.7920045852661,57.455999776721,176.7680048942566,62.432000413537025,2.8313685885984885
gemma12,sliding,decode,1,1,8192,256,16,8,2,17,4,0.00022492876450996846,True,28.464000672101974,17.023999243974686,28.20800058543682,17.56799966096878,1.6056466945469705
gemma12,sliding,decode,4,1,8192,256,16,8,2,17,4,0.00031301475246436894,True,57.53600038588047,21.824000403285027,57.920001447200775,27.488000690937042,2.1071012802432496
gemma12,sliding,decode,16,1,8192,256,16,8,2,17,4,0.0005782324005849659,True,196.17599993944168,63.08799982070923,177.15199291706085,62.6240000128746,2.828819508186014
gemma12,sliding,decode,1,1,32768,256,16,8,2,17,4,0.0002483019488863647,True,29.279999434947968,16.991999931633472,28.01600005477667,17.72800087928772,1.580324834454899
gemma12,sliding,decode,4,1,32768,256,16,8,2,17,4,0.0004608247836586088,True,63.29599767923355,21.90400008112192,58.36799927055836,28.096000663936138,2.0774486720979892
gemma12,sliding,decode,16,1,32768,256,16,8,2,17,4,0.0005668287049047649,True,196.47999852895737,63.040003180503845,197.03999906778336,69.90400329232216,2.818722673776039
gemma12,full,decode,1,1,1024,512,16,1,4,33,4,0.0001262187579413876,True,24.671999737620354,17.08799973130226,24.09599907696247,16.863999888300896,1.4288424594736062
gemma12,full,decode,4,1,1024,512,16,1,4,33,4,0.00012585789954755455,True,54.95999939739704,17.520000226795673,54.16000075638294,18.352000042796135,2.951177017768307
gemma12,full,decode,16,1,1024,512,16,1,4,33,4,0.00023686711210757494,True,178.16000431776047,31.568000093102455,181.2799945473671,31.295999884605408,5.792433384962378
gemma12,full,decode,1,1,4096,512,16,1,4,33,4,3.602290234994143e-05,True,44.47999969124794,21.343999542295933,44.67200115323067,22.111999802291393,2.0202605622582115
gemma12,full,decode,4,1,4096,512,16,1,4,33,4,0.00014362874208018184,True,136.62400096654892,26.33600030094385,137.7279981970787,31.695999205112457,4.345280213625941
gemma12,full,decode,16,1,4096,512,16,1,4,33,4,0.00016715985839255154,True,508.7040066719055,67.88799911737442,513.4879946708679,68.15999746322632,7.533568277315517
gemma12,full,decode,1,1,8192,512,16,1,4,33,4,5.834620606037788e-05,True,72.35199958086014,27.807999402284622,72.1759982407093,30.079999938607216,2.3994680315166
gemma12,full,decode,4,1,8192,512,16,1,4,33,4,0.00012262565724086016,True,244.4160059094429,44.0480001270771,244.87999826669693,46.560000628232956,5.259450063628374
gemma12,full,decode,16,1,8192,512,16,1,4,33,4,0.0002641127211973071,True,939.9199783802032,112.20800131559372,943.0719912052155,112.23999783396721,8.40228091059187
gemma12,full,decode,1,1,32768,512,16,1,4,33,4,9.000140562420711e-05,True,235.56800186634064,50.64000003039837,235.34400016069412,54.23999950289726,4.338938095825814
gemma12,full,decode,4,1,32768,512,16,1,4,33,4,0.00021698720229323953,True,900.3359973430634,108.65600034594536,898.1600105762482,113.10399696230888,7.941010350638216
gemma12,full,decode,16,1,32768,512,16,1,4,33,4,0.00021154386922717094,True,3560.3199005126953,361.392006278038,3556.991934776306,362.3040020465851,9.817699817511118
gemma12,sliding,prefill,1,1024,1024,256,16,8,2,1,4,0.0006660090293735266,True,127.95200198888779,39.08799961209297,127.920001745224,41.58399999141693,3.0761831899679466
gemma12,sliding,prefill,1,1024,4096,256,16,8,2,1,4,0.0007508737617172301,True,180.56000024080276,42.767999693751335,180.65600097179413,45.72799988090992,3.950664832100226
gemma12,sliding,prefill,1,4096,4096,256,16,8,2,1,4,0.0007327541243284941,True,617.9839968681335,138.3039951324463,616.2720024585724,137.43999600410461,4.483934956169291
gemma12,sliding,prefill,1,1024,8192,256,16,8,2,1,4,0.0007465141243301332,True,180.67200481891632,43.18399913609028,181.2319979071617,45.31199857592583,3.999646972169749
gemma12,sliding,prefill,1,8192,8192,256,16,8,2,1,4,0.000740188523195684,True,1260.3360414505005,260.4319900274277,1258.351981639862,258.976012468338,4.858951876068854
gemma12,sliding,prefill,1,1024,32768,256,16,8,2,1,4,0.0007488158298656344,True,180.7520017027855,43.10399852693081,180.25600165128708,45.264000073075294,3.982325940267706
gemma12,sliding,prefill,1,8192,32768,256,16,8,2,1,4,0.000749716826248914,True,1359.279990196228,277.75999903678894,1358.560025691986,275.88799595832825,4.924317279455649
gemma12,full,prefill,1,1024,1024,512,16,1,4,1,4,0.0005609838990494609,True,199.0559995174408,74.30399954319,198.83199781179428,73.5200010240078,2.704461303623569
gemma12,full,prefill,1,1024,4096,512,16,1,4,1,4,0.0006698457873426378,True,861.2799942493439,389.6320015192032,858.1919968128204,392.86400377750397,2.18445056956364
gemma12,full,prefill,1,4096,4096,512,16,1,4,1,4,0.0006315023056231439,True,2052.623987197876,854.0160059928894,2053.7760257720947,851.7920076847076,2.411123850944025
gemma12,full,prefill,1,1024,8192,512,16,1,4,1,4,0.000688318395987153,True,1739.679992198944,821.6480016708374,1738.7999892234802,834.4480097293854,2.083772708364874
gemma12,full,prefill,1,8192,8192,512,16,1,4,1,4,0.0006624899106100202,True,7492.559909820557,3279.695987701416,7489.5360469818115,3274.5280265808105,2.287210854873097
gemma12,full,prefill,1,1024,32768,512,16,1,4,1,4,0.0007074022432789207,True,6997.967958450317,3413.9039516448975,6995.552062988281,3430.240035057068,2.0393768341263905
gemma12,full,prefill,1,8192,32768,512,16,1,4,1,4,0.0007177272345870733,True,49594.22302246094,23273.1351852417,49592.97561645508,23319.631576538086,2.1266620552595112
