input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks,peak_mem_mib
128,1,30.31,30.21,10.470,10.470,10.470,10.460,11.410,94.1,0.740,32,4096,74442
1024,1,47.55,47.82,10.540,10.540,10.540,10.560,11.470,92.3,0.720,32,4096,74502
4096,1,170.51,170.64,10.550,10.550,10.550,10.600,11.530,84.7,0.660,32,4096,75078
8192,1,349.21,350.90,10.550,10.550,10.550,10.650,11.570,75.8,0.590,32,4096,75800
15000,1,672.28,674.42,10.560,10.560,10.560,10.720,11.630,63.6,0.500,32,4096,75800
128,4,56.28,53.40,10.490,10.510,10.490,10.500,11.500,368.5,2.880,32,4096,74442
1024,4,130.40,150.50,11.050,10.880,11.050,10.940,11.920,333.6,2.610,32,4096,74838
4096,4,468.28,539.82,12.060,11.490,12.060,10.990,12.250,255.9,2.000,32,4096,75800
8192,4,995.79,1148.20,13.530,12.300,13.530,11.060,12.610,188.5,1.470,32,4096,75800
15000,4,1660.10,1704.18,18.080,17.700,18.120,11.210,324.810,129.3,1.010,32,4096,75800
128,16,102.52,99.13,10.980,10.970,10.980,11.000,12.200,1366.5,10.680,64,8192,74614
1024,16,408.73,489.25,13.810,13.150,13.810,12.570,28.550,944.9,7.380,64,8192,75824
4096,16,1164.44,1241.08,22.790,22.130,22.790,12.860,329.980,503.1,3.930,64,8192,75824
8192,16,2025.67,1951.47,37.550,38.080,37.550,13.140,348.830,300.4,2.350,64,8192,75824
15000,16,3084.43,2454.43,67.790,72.520,68.060,13.840,374.720,174.5,1.360,64,8192,75824
128,32,137.38,137.84,11.790,11.780,11.790,11.580,12.900,2497.0,19.510,64,8192,74736
1024,32,733.09,821.86,18.010,17.480,18.010,14.620,131.950,1349.5,10.540,64,8192,75824
4096,32,1992.54,1273.18,37.980,43.320,37.980,15.080,327.760,596.6,4.660,64,8192,75824
8192,32,3651.07,1651.41,67.340,82.280,67.340,15.920,349.880,332.9,2.600,64,8192,75824
15000,32,6416.42,2301.72,123.350,155.150,123.350,17.120,382.960,183.9,1.440,64,8192,75824
