input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
128,1,29.43,29.37,7.280,7.280,7.280,7.280,8.110,134.2,1.050,32,4096
128,4,52.19,50.71,7.340,7.350,7.340,7.330,8.350,520.0,4.060,32,4096
1024,1,35.55,35.41,7.350,7.350,7.350,7.350,8.240,132.1,1.030,32,4096
1024,4,61.14,59.63,7.620,7.630,7.620,7.700,8.530,497.2,3.880,32,4096
4096,1,81.23,82.44,7.370,7.370,7.370,7.400,8.330,125.9,0.980,32,4096
4096,4,87.14,81.46,7.720,7.710,7.720,7.840,8.730,478.8,3.740,32,4096
8192,1,163.13,167.20,7.380,7.380,7.380,7.440,8.350,116.3,0.910,32,4096
8192,4,124.08,124.93,7.820,7.760,7.900,7.890,9.260,457.8,3.580,32,4096
15000,1,331.19,338.96,7.390,7.390,7.440,7.510,8.500,100.8,0.790,32,4096
15000,4,711.37,667.68,10.930,10.880,11.000,8.000,237.410,243.7,1.900,32,4096
128,16,64.16,66.31,7.520,7.500,7.520,7.560,8.580,2004.9,15.660,64,8192
128,32,112.90,116.23,8.560,8.550,8.560,8.480,10.460,3399.6,26.560,64,8192
1024,16,206.61,220.54,9.160,9.070,9.160,8.820,10.240,1491.7,11.650,64,8192
1024,32,143.24,144.33,11.020,11.090,11.020,10.940,16.790,2641.5,20.640,64,8192
4096,16,596.42,677.65,12.090,11.330,12.090,9.220,224.750,958.1,7.490,64,8192
4096,32,206.66,150.90,12.670,12.940,12.670,11.870,37.270,2224.2,17.380,64,8192
8192,16,1063.14,1170.14,17.080,16.380,17.080,9.490,260.410,631.7,4.940,64,8192
8192,32,1768.29,1505.30,30.210,33.070,30.210,12.260,268.280,725.6,5.670,64,8192
15000,16,1634.53,1515.71,29.920,29.730,30.100,9.890,296.420,375.8,2.940,64,8192
15000,32,3024.76,1777.66,54.520,64.890,54.520,13.060,304.670,408.8,3.190,64,8192
