input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
128,1,30.02,29.95,7.280,7.280,7.280,7.280,8.120,134.0,1.050,32,4096
128,4,53.55,52.96,7.350,7.360,7.350,7.370,8.280,518.4,4.050,32,4096
1024,1,38.65,38.91,7.360,7.360,7.360,7.370,8.140,131.5,1.030,32,4096
1024,4,110.71,125.77,7.860,7.740,7.860,7.830,8.710,461.2,3.600,32,4096
4096,1,135.13,135.92,7.380,7.380,7.380,7.420,8.330,119.3,0.930,32,4096
4096,4,360.69,416.14,8.670,8.240,8.670,7.880,8.860,350.0,2.730,32,4096
8192,1,274.90,275.92,7.390,7.390,7.390,7.450,8.390,105.5,0.820,32,4096
8192,4,753.49,869.57,9.770,8.860,9.770,7.950,9.390,256.5,2.000,32,4096
15000,1,547.45,550.65,7.390,7.390,7.450,7.520,8.450,86.1,0.670,32,4096
15000,4,1300.89,1328.03,13.370,13.130,13.410,8.090,245.350,170.6,1.330,32,4096
128,16,92.09,90.81,7.540,7.530,7.540,7.570,8.500,1948.3,15.220,64,8192
128,32,140.69,128.12,8.740,8.810,8.740,8.540,11.470,3265.2,25.510,64,8192
1024,16,325.61,381.96,10.060,9.530,10.060,9.090,11.160,1275.0,9.960,64,8192
1024,32,514.85,586.44,14.370,14.050,14.370,11.660,158.670,1742.4,13.610,64,8192
4096,16,903.16,932.52,16.680,16.390,16.680,9.370,231.280,676.0,5.280,64,8192
4096,32,1494.76,948.52,29.160,33.160,29.160,12.050,240.820,782.5,6.110,64,8192
8192,16,1659.95,1503.23,27.140,28.240,27.140,9.800,253.050,399.8,3.120,64,8192
8192,32,2779.47,1260.91,51.890,63.250,51.890,12.880,256.700,433.7,3.390,64,8192
15000,16,2651.48,2411.55,50.170,51.740,50.470,10.370,293.870,226.2,1.770,64,8192
15000,32,5114.47,2055.72,95.490,119.170,95.490,14.160,301.100,235.6,1.840,64,8192
