op,batch,median_ms,ablated_ms,op_cost_ms,share_pct,confounded
FlashDecode,1,5.917,5.441,0.476,8.0,0
FlashDecode,16,34.202,30.763,3.439,10.1,0
FlashMerge,1,5.922,5.787,0.135,2.3,0
FlashMerge,16,34.188,45.172,-10.984,-32.1,1
Gemv,1,5.924,4.578,1.346,22.7,0
Gemv,16,34.2,38.879,-4.679,-13.7,1
GemvArgmax,1,5.916,5.929,-0.013,-0.2,0
GemvArgmax,16,34.191,34.232,-0.041,-0.1,1
GemvGlu,1,5.928,5.738,0.19,3.2,0
GemvGlu,16,34.191,41.525,-7.334,-21.5,1
GemvQkv,1,5.913,5.328,0.585,9.9,0
GemvQkv,16,34.185,40.064,-5.879,-17.2,1
HeadNormRope,1,5.916,5.877,0.039,0.7,0
HeadNormRope,16,34.185,34.148,0.037,0.1,1
MoeCombineNorm,1,5.919,5.656,0.263,4.4,0
MoeCombineNorm,16,34.2,35.708,-1.508,-4.4,1
MoeExpertDown,1,5.918,5.261,0.657,11.1,0
MoeExpertDown,16,34.19,35.438,-1.248,-3.7,1
MoeExpertGluNorm,1,5.92,4.918,1.002,16.9,0
MoeExpertGluNorm,16,34.197,14.513,19.684,57.6,0
MoeScoreFast,1,5.923,5.801,0.122,2.1,0
MoeScoreFast,16,34.182,32.689,1.493,4.4,1
MoeTopk,1,5.916,5.888,0.028,0.5,0
MoeTopk,16,34.191,44.306,-10.115,-29.6,1
NormResidualNorm,1,5.916,5.593,0.323,5.5,0
NormResidualNorm,16,34.179,34.819,-0.64,-1.9,1
