input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
1024,16,214.96,225.51,9.970,10.050,9.970,9.550,11.720,1379.7,10.780,64,8192
1024,32,417.34,387.75,15.200,14.050,15.200,12.200,82.050,1736.3,13.560,64,8192
4096,16,525.34,542.06,14.030,13.990,14.030,9.670,142.600,884.5,6.910,64,8192
4096,32,902.96,573.76,22.410,24.750,22.410,12.800,151.020,1081.3,8.450,64,8192
128,16,413.30,82.05,8.930,8.830,8.930,8.890,11.130,1321.8,10.330,64,8192
128,32,130.30,132.70,11.120,11.160,11.160,11.030,14.130,2647.9,20.690,64,8192
8192,16,964.02,893.23,23.010,24.080,23.100,10.160,157.170,524.7,4.100,64,8192
8192,32,1691.66,767.77,38.070,45.040,38.070,13.760,164.840,619.9,4.840,64,8192
15000,16,1569.55,1331.56,34.840,36.520,34.840,10.780,190.340,339.9,2.660,64,8192
15000,32,3103.21,1192.31,62.440,76.080,62.440,15.070,193.930,366.1,2.860,64,8192
