input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks,peak_mem_mib
128,1,37.94,37.93,5.020,5.020,5.020,5.020,5.820,189.6,1.480,32,4096,74548
1024,1,42.61,42.56,5.060,5.060,5.060,5.070,5.860,186.7,1.460,32,4096,74550
4096,1,92.79,93.46,5.080,5.080,5.080,5.100,5.940,173.5,1.360,32,4096,74916
8192,1,179.29,180.77,5.080,5.080,5.100,5.130,5.970,155.3,1.210,32,4096,75286
15000,1,353.72,356.14,5.060,5.060,5.140,5.200,5.580,128.5,1.000,32,4096,75286
128,4,69.86,67.38,7.240,7.280,7.240,7.230,8.250,517.3,4.040,32,4096,74548
1024,4,89.44,92.68,7.560,7.550,7.560,7.580,8.500,487.4,3.810,32,4096,74772
4096,4,224.93,255.32,7.970,7.740,7.970,7.570,8.550,413.7,3.230,32,4096,75286
8192,4,457.49,525.33,8.550,8.020,8.550,7.560,9.080,331.5,2.590,32,4096,75286
15000,4,804.75,816.22,10.860,10.730,10.930,7.740,148.360,234.2,1.830,32,4096,75286
128,16,82.51,77.13,8.890,8.860,8.890,8.930,10.450,1687.7,13.190,64,8192,74588
1024,16,202.89,222.18,9.970,10.060,9.970,9.450,18.890,1391.1,10.870,64,8192,75302
4096,16,524.74,541.40,14.040,13.850,14.040,9.670,139.460,884.3,6.910,64,8192,75302
8192,16,927.76,879.27,21.220,21.950,21.220,10.410,157.190,562.8,4.400,64,8192,75302
15000,16,1546.09,1321.62,35.110,36.790,35.110,10.800,188.100,339.3,2.650,64,8192,75302
128,32,133.82,133.17,10.740,10.860,10.740,10.770,12.210,2724.5,21.290,64,8192,74838
1024,32,334.43,330.67,13.950,13.730,13.950,12.510,67.570,1934.0,15.110,64,8192,75302
4096,32,900.67,573.73,22.580,24.840,22.580,12.920,151.750,1076.0,8.410,64,8192,75302
8192,32,1615.48,620.96,37.330,43.930,37.330,14.270,163.200,636.2,4.970,64,8192,75302
15000,32,3130.92,1271.92,62.670,76.240,62.670,14.940,193.600,364.3,2.850,64,8192,75302
