input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
128,1,42.91,42.82,5.120,5.120,5.120,5.110,5.890,184.7,1.440,32,4096
128,4,78.71,78.41,5.810,5.810,5.810,5.830,6.650,627.1,4.900,32,4096
1024,1,47.94,47.94,5.160,5.160,5.160,5.160,5.960,181.8,1.420,32,4096
1024,4,86.86,86.63,6.110,6.110,6.110,6.120,7.170,593.0,4.630,32,4096
4096,1,61.73,62.06,5.180,5.180,5.180,5.180,6.040,177.9,1.390,32,4096
4096,4,108.36,107.64,6.080,6.060,6.130,6.150,7.050,581.1,4.540,32,4096
8192,1,111.85,113.47,5.170,5.170,5.170,5.240,6.050,166.5,1.300,32,4096
8192,4,155.05,162.02,6.190,6.120,6.260,6.240,7.160,543.5,4.250,32,4096
15000,1,209.06,213.15,5.180,5.180,5.260,5.280,6.080,147.6,1.150,32,4096
15000,4,425.55,433.54,7.770,7.420,7.830,6.450,123.020,362.1,2.830,32,4096
128,16,87.85,86.53,7.580,7.540,7.580,7.510,8.640,1946.5,15.210,64,8192
128,32,108.86,111.61,8.790,8.790,8.790,8.740,10.570,3325.9,25.980,64,8192
1024,16,170.96,172.18,8.050,8.060,8.070,8.070,9.400,1712.8,13.380,64,8192
1024,32,157.81,156.00,10.380,10.400,10.460,10.320,12.550,2763.1,21.590,64,8192
4096,16,352.78,340.87,9.430,9.500,9.440,8.260,59.700,1318.3,10.300,64,8192
4096,32,259.72,285.03,11.560,11.460,11.650,10.980,44.670,2335.4,18.250,64,8192
8192,16,608.85,634.56,12.470,12.290,12.490,8.950,135.670,931.0,7.270,64,8192
8192,32,943.73,815.80,20.760,22.390,20.760,11.880,146.440,1132.7,8.850,64,8192
15000,16,1045.42,1112.99,18.990,18.430,19.030,9.630,165.000,590.0,4.610,64,8192
15000,32,1722.83,1130.13,34.210,39.050,34.210,13.120,170.720,667.6,5.220,64,8192
