input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
128,1,42.72,42.67,5.110,5.110,5.110,5.110,5.850,184.8,1.440,32,4096
128,4,78.75,78.25,5.910,5.910,5.910,5.930,6.770,616.8,4.820,32,4096
1024,1,47.41,47.59,5.170,5.170,5.170,5.170,5.800,181.8,1.420,32,4096
1024,4,93.17,94.17,6.080,6.100,6.080,6.090,6.890,591.2,4.620,32,4096
4096,1,85.63,86.50,5.170,5.170,5.170,5.200,6.000,172.3,1.350,32,4096
4096,4,202.76,228.69,6.510,6.360,6.510,6.120,7.170,497.1,3.880,32,4096
8192,1,162.01,164.05,5.180,5.180,5.190,5.220,6.110,156.2,1.220,32,4096
8192,4,401.49,462.89,7.090,6.670,7.090,6.210,7.770,393.0,3.070,32,4096
15000,1,317.61,320.62,5.170,5.170,5.250,5.270,6.180,131.3,1.030,32,4096
15000,4,712.12,721.51,9.100,8.990,9.160,6.420,130.500,273.7,2.140,32,4096
128,16,84.59,81.69,7.320,7.310,7.320,7.330,8.430,2016.2,15.750,64,8192
128,32,113.41,108.96,9.010,9.060,9.010,9.000,10.770,3247.6,25.370,64,8192
1024,16,196.64,199.86,8.710,8.670,8.710,8.300,10.380,1569.7,12.260,64,8192
1024,32,327.23,324.38,11.170,11.070,11.170,10.210,63.120,2336.6,18.250,64,8192
4096,16,494.97,526.60,11.880,11.640,11.880,8.620,115.410,1018.3,7.960,64,8192
4096,32,767.48,485.50,19.370,21.460,19.370,11.210,125.070,1256.5,9.820,64,8192
8192,16,861.11,779.82,17.630,18.060,17.630,9.000,132.880,657.5,5.140,64,8192
8192,32,1437.96,656.87,31.310,36.540,31.310,12.080,136.950,746.8,5.830,64,8192
15000,16,1417.73,1281.97,30.020,31.050,30.020,9.740,163.760,389.6,3.040,64,8192
15000,32,2709.40,1099.37,54.500,66.160,54.500,13.530,168.070,419.5,3.280,64,8192
