grid_cta_per_sm,unroll,r1_GBps,r2_GBps,mean_GBps,paired_spread_pct,fraction_best
1,1,1252.284,1252.359,1252.3215,0.00598887745677273,0.3970809675507693
1,2,1942.956,1942.127,1942.5414999999998,0.042676050936360996,0.6159330957166532
1,4,2186.302,2188.01,2187.156,0.0780922805689253,0.6934944586230217
1,8,2752.27,2751.883,2752.0765,0.014062109101987933,0.8726171349719181
2,1,2198.271,2197.879,2198.075,0.01783378638127817,0.6969566103825234
2,2,2854.581,2850.381,2852.4809999999998,0.14724024454502146,0.9044529822415298
2,4,2967.914,2968.064,2967.989,0.0050539270866447345,0.9410777853770301
2,8,3111.465,3111.777,3111.621,0.010026928086675662,0.9866200311431949
3,1,2745.14,2746.221,2745.6805,0.039370931905592474,0.8705891175111823
3,2,3064.489,3064.289,3064.389,0.006526586539757783,0.9716439022023774
3,4,3100.393,3101.229,3100.8109999999997,0.026960688671440646,0.9831924406568668
3,8,3154.686,3152.952,3153.8190000000004,0.05498096117754137,1.0
4,1,2976.792,2976.987,2976.8895,0.0065504614800167655,0.9438999194310136
4,2,3122.552,3123.712,3123.132,0.03714220212273623,0.9902698918358979
4,4,3139.761,3137.572,3138.6665000000003,0.06974299435763089,0.9951955074149784
4,8,3151.529,3155.259,3153.3940000000002,0.11828525074887622,0.9998652427422119
5,1,3050.592,3051.029,3050.8105,0.01432406240898601,0.9673384870850228
5,2,3142.673,3142.56,3142.6165,0.003595729863947097,0.996447957222656
5,4,3144.959,3143.908,3144.4335,0.0334241446034693,0.9970240841341876
5,8,3142.521,3144.146,3143.3335,0.05169670987822323,0.996675300643442
6,1,3094.637,3095.068,3094.8525,0.01392635028648506,0.9813031439026778
6,2,3138.779,3142.117,3140.4480000000003,0.10629056746044489,0.9957603781320361
6,4,3136.675,3138.461,3137.568,0.0569230690776934,0.9948471995380838
6,8,3142.723,3147.895,3145.309,0.1644353543642302,0.9973016840852312
