shape,N,K,depth,repeat,baseline_us,candidate_us,baseline_GBps,candidate_GBps,mismatches,base_regs,candidate_regs,base_ctas_per_sm,candidate_ctas_per_sm,dynamic_smem_bytes
q_sliding,4096,3840,2,0,27.680000,34.784000,1136.462,904.361,0,56,30,4,8,15872
q_sliding,4096,3840,2,1,27.584000,35.103999,1140.418,896.117,0,56,30,4,8,15872
q_sliding,4096,3840,4,0,27.519999,29.152000,1143.070,1079.078,0,56,34,4,6,24064
q_sliding,4096,3840,4,1,27.519999,29.247999,1143.070,1075.536,0,56,34,4,6,24064
q_sliding,4096,3840,6,0,27.744001,27.584000,1133.841,1140.418,0,56,32,4,7,32256
q_sliding,4096,3840,6,1,27.648000,27.584000,1137.778,1140.418,0,56,32,4,7,32256
kv_sliding,2048,3840,2,0,18.848000,21.984000,834.499,715.459,0,56,30,4,8,15872
kv_sliding,2048,3840,2,1,18.816000,21.952000,835.918,716.501,0,56,30,4,8,15872
kv_sliding,2048,3840,4,0,18.944001,19.231999,830.270,817.837,0,56,34,4,6,24064
kv_sliding,2048,3840,4,1,18.816000,19.392001,835.918,811.089,0,56,34,4,6,24064
kv_sliding,2048,3840,6,0,18.975999,18.560000,828.870,847.448,0,56,32,4,7,32256
kv_sliding,2048,3840,6,1,18.944001,18.656000,830.270,843.087,0,56,32,4,7,32256
out_sliding,3840,4096,2,0,28.096000,35.519999,1119.636,885.622,0,56,30,4,8,16384
out_sliding,3840,4096,2,1,27.904000,35.680000,1127.339,881.650,0,56,30,4,8,16384
out_sliding,3840,4096,4,0,27.840000,29.952001,1129.931,1050.256,0,56,34,4,6,24576
out_sliding,3840,4096,4,1,27.807999,29.792000,1131.231,1055.897,0,56,34,4,6,24576
out_sliding,3840,4096,6,0,28.096000,28.352000,1119.636,1109.526,0,56,32,4,6,32768
out_sliding,3840,4096,6,1,27.872000,28.255999,1128.634,1113.296,0,56,32,4,6,32768
q_full,8192,3840,2,0,42.943999,56.671999,1465.037,1110.152,0,56,30,4,8,15872
q_full,8192,3840,2,1,42.911999,56.671999,1466.130,1110.152,0,56,30,4,8,15872
q_full,8192,3840,4,0,43.296002,46.367999,1453.126,1356.853,0,56,34,4,6,24064
q_full,8192,3840,4,1,43.072000,46.335999,1460.684,1357.790,0,56,34,4,6,24064
q_full,8192,3840,6,0,43.296002,43.296002,1453.126,1453.126,0,56,32,4,7,32256
q_full,8192,3840,6,1,43.168001,43.327998,1457.435,1452.053,0,56,32,4,7,32256
k_full,512,3840,2,0,13.952000,15.616000,281.835,251.803,0,56,30,4,8,15872
k_full,512,3840,2,1,13.888000,15.840000,283.134,248.242,0,56,30,4,8,15872
k_full,512,3840,4,0,13.696000,13.824000,287.103,284.444,0,56,34,4,6,24064
k_full,512,3840,4,1,13.696000,13.792000,287.103,285.104,0,56,34,4,6,24064
k_full,512,3840,6,0,13.792000,13.536000,285.104,290.496,0,56,32,4,7,32256
k_full,512,3840,6,1,13.696000,13.664000,287.103,287.775,0,56,32,4,7,32256
out_full,3840,8192,2,0,48.799999,62.752001,1289.233,1002.590,0,56,30,4,8,24576
out_full,3840,8192,2,1,48.767999,62.368002,1290.079,1008.763,0,56,30,4,8,24576
out_full,3840,8192,4,0,48.864000,51.872000,1287.544,1212.881,0,56,34,4,6,32768
out_full,3840,8192,4,1,48.799999,52.127998,1289.233,1206.925,0,56,34,4,6,32768
out_full,3840,8192,6,0,48.864000,48.512001,1287.544,1296.887,0,56,32,4,5,40960
out_full,3840,8192,6,1,48.672002,48.799999,1292.623,1289.233,0,56,32,4,5,40960
gate_or_up,15360,3840,2,0,63.904002,88.544004,1845.969,1332.273,0,56,30,4,8,15872
gate_or_up,15360,3840,2,1,63.872002,88.448003,1846.894,1333.719,0,56,30,4,8,15872
gate_or_up,15360,3840,4,0,63.872002,68.896003,1846.894,1712.215,0,56,34,4,6,24064
gate_or_up,15360,3840,4,1,63.968003,68.896003,1844.122,1712.215,0,56,34,4,6,24064
gate_or_up,15360,3840,6,0,63.936003,63.936003,1845.045,1845.045,0,56,32,4,7,32256
gate_or_up,15360,3840,6,1,63.904002,63.936003,1845.969,1845.045,0,56,32,4,7,32256
down,3840,15360,2,0,79.232000,102.431998,1488.853,1151.640,0,56,30,4,5,38912
down,3840,15360,2,1,79.648003,102.752000,1481.077,1148.054,0,56,30,4,5,38912
down,3840,15360,4,0,79.360001,81.664003,1486.452,1444.514,0,56,34,4,4,47104
down,3840,15360,4,1,79.360001,81.600003,1486.452,1445.647,0,56,34,4,4,47104
down,3840,15360,6,0,79.039998,76.831996,1492.470,1535.360,0,56,32,4,4,55296
down,3840,15360,6,1,79.232000,76.768003,1488.853,1536.640,0,56,32,4,4,55296
lm_head,262144,3840,2,0,735.360026,1125.887990,2737.796,1788.158,0,56,30,4,8,15872
lm_head,262144,3840,2,1,735.104024,1127.104044,2738.750,1786.229,0,56,30,4,8,15872
lm_head,262144,3840,4,0,735.167980,798.207998,2738.511,2522.232,0,56,34,4,6,24064
lm_head,262144,3840,4,1,735.135972,798.431993,2738.631,2521.525,0,56,34,4,6,24064
lm_head,262144,3840,6,0,734.560013,730.431974,2740.778,2756.268,0,56,32,4,7,32256
lm_head,262144,3840,6,1,734.879971,730.848014,2739.585,2754.698,0,56,32,4,7,32256
