shape,M,N,K,arm,splitK,BM,BN,BK,stages,threads,grid,repeat,samples,median_us,p10_us,p90_us,logical_weight_GBs,physical_weight_passes,flush_bytes
gemma12_4096x3840,8,4096,3840,cublasLt,0,0,0,0,0,0,0,0,40,27.568001,26.752001,31.072001,1141.079512,0,268435456
gemma12_4096x3840,8,4096,3840,scalar,0,0,0,0,0,256,132,0,40,45.279999,44.799999,45.984001,694.727915,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,1,16,128,64,4,256,132,0,40,52.400002,51.711998,53.695999,600.329771,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,2,16,128,64,4,256,132,0,40,32.848000,32.352001,34.015999,957.661958,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,4,16,128,64,4,256,132,0,40,28.176001,27.488001,29.375999,1116.456559,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,8,16,128,64,4,256,132,0,40,29.296000,28.224001,30.624001,1073.773894,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,16,16,128,64,4,256,132,0,40,32.208000,31.743999,33.472000,976.691505,1,268435456
gemma12_4096x3840,8,4096,3840,cublasLt,0,0,0,0,0,0,0,1,40,27.327999,26.431999,30.112000,1151.100703,0,268435456
gemma12_4096x3840,8,4096,3840,scalar,0,0,0,0,0,256,132,1,40,45.295998,44.896000,45.888000,694.482575,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,1,16,128,64,4,256,132,1,40,51.295998,50.560001,52.383999,613.250203,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,2,16,128,64,4,256,132,1,40,32.704002,32.191998,33.920002,961.878612,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,4,16,128,64,4,256,132,1,40,28.256001,27.296000,29.727999,1113.295583,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,8,16,128,64,4,256,132,1,40,29.312000,28.448000,30.976000,1073.187773,1,268435456
gemma12_4096x3840,8,4096,3840,zg0,16,16,128,64,4,256,132,1,40,33.199997,32.383999,34.048000,947.508545,1,268435456
gemma12_2048x3840,8,2048,3840,cublasLt,0,0,0,0,0,0,0,0,40,22.256001,21.568001,25.855999,706.714594,0,268435456
gemma12_2048x3840,8,2048,3840,scalar,0,0,0,0,0,256,132,0,40,29.712000,29.472000,30.400000,529.369952,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,1,16,128,64,4,256,132,0,40,52.496002,51.295998,55.327999,299.615948,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,2,16,128,64,4,256,132,0,40,31.312000,30.751999,32.543999,502.319877,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,4,16,128,64,4,256,132,0,40,21.936001,21.312000,23.199999,717.024070,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,8,16,128,64,4,256,132,0,40,19.808001,18.816000,21.088001,794.054927,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,16,16,128,64,4,256,132,0,40,21.520000,20.352001,22.688000,730.884758,1,268435456
gemma12_2048x3840,8,2048,3840,cublasLt,0,0,0,0,0,0,0,1,40,22.447998,21.632000,27.008001,700.670054,0,268435456
gemma12_2048x3840,8,2048,3840,scalar,0,0,0,0,0,256,132,1,40,29.760000,29.375999,30.848000,528.516129,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,1,16,128,64,4,256,132,1,40,51.183998,49.984001,52.671997,307.296030,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,2,16,128,64,4,256,132,1,40,31.104000,30.624001,32.095997,505.679012,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,4,16,128,64,4,256,132,1,40,22.080000,21.120001,26.016001,712.347826,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,8,16,128,64,4,256,132,1,40,20.416000,19.487999,21.439999,770.407524,1,268435456
gemma12_2048x3840,8,2048,3840,zg0,16,16,128,64,4,256,132,1,40,22.512001,21.856001,24.032000,698.677978,1,268435456
gemma12_3840x4096,8,3840,4096,cublasLt,0,0,0,0,0,0,0,0,40,28.048000,27.104000,33.087997,1121.551626,0,268435456
gemma12_3840x4096,8,3840,4096,scalar,0,0,0,0,0,256,132,0,40,47.152000,46.784000,48.191998,667.146250,1,268435456
gemma12_3840x4096,8,3840,4096,zg0,1,16,128,64,4,256,132,0,40,55.040001,54.368000,56.320000,571.534884,1,268435456
gemma12_3840x4096,8,3840,4096,zg0,2,16,128,64,4,256,132,0,40,34.015999,33.535999,37.023998,924.778928,1,268435456
gemma12_3840x4096,8,3840,4096,zg0,4,16,128,64,4,256,132,0,40,28.223999,27.615999,29.344000,1114.557823,1,268435456
