repeat,layer,variant,batch,ctx,latency_us_median,latency_us_p95,prefill_ms_median,prefill_ms_p95,prefill_tok_s,tok_s
1,0,control,1,1024,491.64,497.62,3.091,3.113,331326.5,2034.0
1,0,control,1,4096,491.51,502.15,10.763,10.79,380556.9,2034.5
1,0,control,1,8192,490.49,497.41,20.865,20.907,392623.6,2038.8
1,0,control,1,32768,490.47,499.59,83.324,83.528,393260.2,2038.9
1,0,candidate,1,1024,491.39,497.63,2.902,2.919,352916.9,2035.0
1,0,candidate,1,4096,490.77,497.48,10.032,10.049,408276.0,2037.6
1,0,candidate,1,8192,490.99,497.84,19.348,19.386,423397.2,2036.7
1,0,candidate,1,32768,491.28,496.32,77.214,77.287,424381.2,2035.5
1,3,control,1,1024,491.56,498.16,5.502,5.628,186097.6,2034.3
1,3,control,1,4096,517.93,524.78,34.756,35.709,117850.8,1930.8
1,3,control,1,8192,552.28,559.98,107.525,113.778,76187.2,1810.7
1,3,control,1,32768,759.81,766.73,1351.111,1370.243,24252.6,1316.1
1,3,candidate,1,1024,491.63,497.6,5.327,5.395,192217.6,2034.0
1,3,candidate,1,4096,517.9,524.35,33.828,34.451,121082.8,1930.9
1,3,candidate,1,8192,551.73,560.1,106.558,111.069,76878.2,1812.5
1,3,candidate,1,32768,758.8,768.76,1347.274,1363.56,24321.7,1317.9
2,0,control,1,1024,491.51,496.78,3.083,3.095,332191.7,2034.5
2,0,control,1,4096,491.43,497.47,10.718,10.748,382169.7,2034.9
2,0,control,1,8192,490.2,497.89,20.801,20.829,393819.6,2040.0
2,0,control,1,32768,490.36,500.96,83.108,83.171,394283.0,2039.3
2,0,candidate,1,1024,491.09,496.65,2.898,2.922,353366.3,2036.3
2,0,candidate,1,4096,491.19,499.61,10.006,10.022,409370.4,2035.9
2,0,candidate,1,8192,490.35,496.52,19.308,19.335,424275.7,2039.4
2,0,candidate,1,32768,490.82,497.57,77.137,77.272,424801.8,2037.4
2,3,control,1,1024,489.3,500.14,5.521,5.634,185460.9,2043.7
2,3,control,1,4096,516.67,524.06,34.583,35.349,118441.1,1935.5
2,3,control,1,8192,551.37,560.16,107.156,112.751,76449.3,1813.7
2,3,control,1,32768,758.71,766.85,1352.508,1376.072,24227.6,1318.0
2,3,candidate,1,1024,490.59,497.65,5.333,5.419,192028.3,2038.4
2,3,candidate,1,4096,516.87,523.93,33.995,35.415,120488.1,1934.7
2,3,candidate,1,8192,550.99,558.54,105.704,109.302,77499.5,1814.9
2,3,candidate,1,32768,758.7,766.3,1345.634,1360.716,24351.4,1318.0
