M,N,K,projection,repeat,control_us,candidate_us,cutlass_control_run_us,cutlass_candidate_run_us,latency_reduction_pct,bit_exact
1024,48,5120,a_or_b,1,35.760000348091125,30.640000477433205,18.592000007629395,18.624000251293182,14.317672877011667,True
1024,10240,5120,qkv,1,210.57599782943726,189.16799873113632,80.07999882102013,79.29600030183792,10.166400406014475,True
1024,6144,5120,z,1,128.49599868059158,116.03199690580368,49.904000014066696,49.984000623226166,9.699914318554193,True
1024,5120,6144,gdn_out,1,142.5120010972023,127.34399735927582,55.904000997543335,56.48000165820122,10.643316788163638,True
1024,12288,5120,q_full,1,244.75199729204178,219.29599344730377,95.23200243711472,95.5359973013401,10.400733855652067,True
1024,1024,5120,k_or_v,1,45.31199857592583,40.3360016644001,20.287999883294106,20.207999274134636,10.981631947193481,True
1024,17408,5120,gate_or_up,1,360.6240004301071,319.36000287532806,140.9280002117157,141.63200557231903,11.442388056691877,True
1024,5120,17408,down,1,322.87999987602234,278.3520072698593,156.68800473213196,156.8799987435341,13.790879776777942,True
1024,1024,640,k_tail_128,1,20.096000283956528,19.519999623298645,8.927999995648861,9.088000282645226,2.866245285225877,True
1024,1024,528,k_tail_16,1,20.719999447464943,20.239999517798424,10.016000363975763,10.016000363975763,2.316602038931259,True
1024,48,5120,a_or_b,2,35.9519999474287,30.767999589443207,18.640000373125076,18.688000738620758,14.419226650995409,True
1024,10240,5120,qkv,2,212.0640054345131,190.5599981546402,80.65600320696831,80.51200211048126,10.14033816621156,True
1024,6144,5120,z,2,129.59999591112137,116.72000214457512,49.68000017106533,49.59999956190586,9.938267108726794,True
1024,5120,6144,gdn_out,2,143.64799857139587,127.9359981417656,56.57599866390228,56.784000247716904,10.937848480931745,True
1024,12288,5120,q_full,2,245.67999690771103,220.14399617910385,95.10400146245956,95.52000090479851,10.394008893690964,True
1024,1024,5120,k_or_v,2,45.21600157022476,40.32000154256821,20.576000213623047,20.608000457286835,10.8280251628455,True
1024,17408,5120,gate_or_up,2,361.9839996099472,320.8480030298233,140.78400284051895,140.6240016222,11.364037257019554,True
1024,5120,17408,down,2,324.6079981327057,279.5040011405945,156.71999752521515,157.32800215482712,13.894912402519378,True
1024,1024,640,k_tail_128,2,20.207999274134636,19.632000476121902,8.991999551653862,8.991999551653862,2.850350448844219,True
1024,1024,528,k_tail_16,2,20.927999168634415,20.287999883294106,9.935999754816294,9.984000120311975,3.058100682168896,True
4096,48,5120,a_or_b,1,38.62399980425835,34.32000055909157,21.328000351786613,21.31200022995472,11.143328673826936,True
4096,10240,5120,qkv,1,784.0160131454468,671.0079908370972,335.7599973678589,335.5199992656708,14.413994154910824,True
4096,6144,5120,z,1,474.2399901151657,414.88000750541687,203.0239999294281,202.7520015835762,12.516865689739431,True
4096,5120,6144,gdn_out,1,449.087992310524,396.4319974184036,207.58399367332458,206.28800243139267,11.72509525832771,True
4096,12288,5120,q_full,1,921.9360053539276,780.8800041675568,401.296004652977,400.84800124168396,15.299977478612526,True
4096,1024,5120,k_or_v,1,85.11999994516373,74.41600039601326,40.36800004541874,40.192000567913055,12.575187448362579,True
4096,17408,5120,gate_or_up,1,1282.1919918060303,1090.6720161437988,554.2080104351044,554.8959970474243,14.936918720921522,True
4096,5120,17408,down,1,1057.59996175766,910.9280109405518,582.1279883384705,573.3599960803986,13.868377091594187,True
4096,1024,640,k_tail_128,1,36.04799881577492,34.86400097608566,12.799999676644802,12.415999546647072,3.284503657859439,True
4096,1024,528,k_tail_16,1,36.51199862360954,35.48800013959408,14.35199985280633,14.25600005313754,2.804553359490225,True
4096,48,5120,a_or_b,2,38.80000114440918,34.49600003659725,21.12000063061714,21.215999498963356,11.092786033157386,True
4096,10240,5120,qkv,2,787.8719866275787,670.1279878616333,334.80000495910645,335.61600744724274,14.944559619379149,True
4096,6144,5120,z,2,475.2800017595291,414.2879992723465,203.13600450754166,201.88799500465393,12.8328568972784,True
