input,concurrency,requests,identical_text,plow_ttft_ms_p50,plow_ttft_ms_p95,plow_ttft_ms_p99,plow_latency_ms_p50,plow_latency_ms_p95,plow_latency_ms_p99,plow_tpot_ms_p50,plow_tpot_ms_p95,plow_tpot_ms_p99,plow_chunk_gap_ms_p50,plow_chunk_gap_ms_p95,plow_chunk_gap_ms_p99,plow_output_tok_s_median_wave,plow_cache_misses,plow_cache_count_mismatches,vllm_ttft_ms_p50,vllm_ttft_ms_p95,vllm_ttft_ms_p99,vllm_latency_ms_p50,vllm_latency_ms_p95,vllm_latency_ms_p99,vllm_tpot_ms_p50,vllm_tpot_ms_p95,vllm_tpot_ms_p99,vllm_chunk_gap_ms_p50,vllm_chunk_gap_ms_p95,vllm_chunk_gap_ms_p99,vllm_output_tok_s_median_wave,vllm_cache_misses,vllm_cache_count_mismatches
1024,1,3,3,153.43096700962633,153.82940601557493,153.8648228161037,1041.8787270318717,1042.3438119119965,1042.3851527902298,28.661993903017812,28.667568531067623,28.66806405356094,28.65737897809595,28.701629023998976,28.741233553737402,30.702102218555858,0,0,33.805620041675866,34.03363944962621,34.053907841444016,764.7590769920498,764.8490878404118,764.8570888047107,23.5823699678745,23.603460597129718,23.605335319730184,23.643791093491018,24.15553794708103,24.459492112509906,41.82204285562346,0,0
1024,4,12,12,449.7459145495668,450.4216360859573,450.4232856631279,2019.9749449966475,2020.8417900663335,2020.8420892583672,50.661284758168605,50.671958807487826,50.671987477352005,50.6379705038853,50.7751960947644,51.00878256955184,63.326114426882306,0,0,68.00446897977963,72.14723228826188,72.2235912072938,819.6727240574546,824.2170999292284,824.2403191979975,24.253359323577776,24.267723933688455,24.268661147929848,24.241244012955576,24.740198464132845,24.884957948233932,155.91286658023475,0,0
1024,8,24,21,701.3843759777956,710.9656559478026,711.5544394426979,3078.433284012135,3089.1470115515403,3089.2450705287047,76.6831651938358,76.71561647157726,76.71787740163235,76.65609603282064,76.98522064602003,77.45165784261191,83.10789222070204,0,0,87.6061680028215,89.2157613125164,89.37438733992167,860.1524350233376,861.9233543635346,862.1922759339213,24.917818016312538,25.01464306485779,25.027478556899773,24.98948498396203,25.6318784551695,26.734324840363115,296.93869050516,0,0
1024,16,48,42,1957.9216514830478,3886.347664362984,3888.4988300153054,4704.944620025344,6308.556987269549,6310.122713032179,76.69597569357364,81.82841750545307,94.79149273457757,76.66011899709702,77.0202079671435,105.31070628901942,83.16425783954844,0,0,150.9996684617363,156.00594606949016,156.19477611850016,984.2695930274203,987.898074433906,988.5816520568915,26.874340967380352,27.89990011839226,28.55588172660059,27.0106679527089,28.030660626245663,29.819953974802043,518.1898267236164,0,0
1024,32,96,76,5323.087437544018,9932.693969254615,9937.326328945346,7701.397804019507,12310.945049481234,12314.41647837055,76.69464067833859,76.74897140297558,76.76075343868786,76.66961249196902,76.99707653955556,77.62060058303177,83.16373057620885,0,0,268.43624701723456,273.3774155494757,273.8938446622342,1216.4531760499813,1222.7009824709967,1223.980286938604,30.580856726549925,30.680765016680404,35.08289477491241,30.85805248701945,32.42702526040375,38.450588763225824,835.8261549657127,0,0
1024,64,192,169,11509.7655680147,22252.33937568846,22265.14235548908,13887.193166534416,24629.670698178234,24641.901033312315,76.69132758089671,76.72797118016939,76.74505884304733,76.6577580361627,76.97922498336993,77.63197886291891,83.12476384726948,0,0,350.03190248971805,515.1126209937502,517.4227707355749,1673.806094971951,1698.4769688686356,1701.8242345261388,42.44635621040699,44.01908281968997,48.25864437269047,38.735289534088224,42.19350496423431,204.85785949509585,1202.6447077626874,0,0
2048,1,3,3,155.90708097442985,157.77137256227434,157.93708737008274,1047.4362360546365,1049.40760320751,1049.582835843321,28.759005002587312,28.762459053072117,28.762766079781876,28.754440951161087,28.787609981372952,28.837169855833054,30.534230875059475,0,0,36.20991506613791,36.42781940288842,36.44718867726624,767.9932820610702,768.1209155009128,768.1322606955655,23.605915064352654,23.6079441575003,23.608124521335647,23.603901034221053,24.016408808529377,24.375928728841245,41.626048311561654,0,0
2048,4,12,8,455.2569615188986,653.0223724199459,653.2591985119507,2147.5445654941723,2309.4190527510364,2309.708697736496,52.58106741858947,60.943617707216035,61.47932653514398,51.03483103448525,51.185308484127745,89.83455910929479,59.55555983255706,0,0,68.86053353082389,85.42088431422599,85.51217292086221,822.6284894626588,839.5641549897846,839.5669797703158,24.3103458872816,24.33391086092489,24.337414197375878,24.321607954334468,25.135706539731473,25.6851365219336,155.37127132447742,0,0
2048,8,24,20,929.2541875620373,931.0079065558966,931.0980904067401,3327.0298344432376,3329.474541475065,3329.5835746079683,77.35032288567913,77.3797064702282,77.38251031939721,77.30696653015912,77.63763327384368,78.41615760466084,76.86038663143542,0,0,131.38038397300988,142.23468425916508,142.64387781266123,900.1402205321938,916.6909417777788,916.8703853874467,25.000186017414016,25.686567687737423,26.217367141958206,25.11727501405403,26.00494583020918,27.756285881623633,279.72696236784105,0,0
2048,16,48,35,2591.8542039580643,4264.64693765156,4265.965094337007,4990.439435525332,6662.7190047409385,6664.484326366801,77.35582355094412,77.40463655753692,77.42348594936513,77.31577003141865,77.62176698888652,78.45283242990263,76.87248487347267,0,0,252.56933295167983,257.36374502885155,258.628575039329,1088.6508175171912,1094.3043518753257,1095.0046117138118,26.968040387146175,31.071193452977067,31.615374305270493,27.332782512530684,28.50979216163978,31.28687639138659,467.51840243966234,0,0
