input,concurrency,requests,identical_text,plow_ttft_ms_p50,plow_ttft_ms_p95,plow_ttft_ms_p99,plow_latency_ms_p50,plow_latency_ms_p95,plow_latency_ms_p99,plow_tpot_ms_p50,plow_tpot_ms_p95,plow_tpot_ms_p99,plow_chunk_gap_ms_p50,plow_chunk_gap_ms_p95,plow_chunk_gap_ms_p99,plow_output_tok_s_median_wave,plow_cache_misses,vllm_ttft_ms_p50,vllm_ttft_ms_p95,vllm_ttft_ms_p99,vllm_latency_ms_p50,vllm_latency_ms_p95,vllm_latency_ms_p99,vllm_tpot_ms_p50,vllm_tpot_ms_p95,vllm_tpot_ms_p99,vllm_chunk_gap_ms_p50,vllm_chunk_gap_ms_p95,vllm_chunk_gap_ms_p99,vllm_output_tok_s_median_wave,vllm_cache_misses
1024,1,3,1,139.06312792096287,153.59332826919854,154.88490163348615,789.3836619332433,803.8477924535982,805.1334929442964,20.978081742331625,20.979425993432564,20.97954548241931,20.966701093129814,21.006236062385142,21.208516755141318,40.516658756419616,0,24.031618959270418,24.0490970085375,24.050650612916797,493.7315620481968,494.2833744804375,494.33242447441444,15.163275195405848,15.170577881226857,15.171227008855391,15.108076040633023,15.630214451812208,15.874106236733496,64.74639226459314,0
1024,4,12,8,309.0755664743483,515.1189745112788,515.5192908400204,1676.421827985905,1740.0049013202079,1740.4774146177806,44.10895524216035,47.59499185996491,47.600495380034005,37.78737201355398,75.18474394455552,162.21587626379915,73.5270423248856,0,57.4120634701103,58.34536392940208,58.38976083090529,546.22781049693,547.2974005388096,547.3113833228126,15.7719696609063,15.780197063295711,15.7804769608793,15.827620984055102,16.465865477221087,16.66772123076953,233.72536250424076,0
1024,8,24,13,1126.6118160565384,2192.6118612813298,2192.861698808847,2681.282641016878,3417.658682365436,3417.785779897822,48.311488049465325,50.19863080139452,50.22819259151396,37.791333510540426,150.92130710254423,188.13819905160926,74.89109871011668,0,79.81766149168834,80.94231530558318,80.98717846209183,587.3339219251648,589.3747523368802,589.5620156219229,16.379120322169676,16.508385085035115,16.522382369430193,16.450640046969056,17.329237650847062,18.119285106658936,434.2664606651066,0
1024,16,48,23,2804.6397595317103,5486.113783624023,5552.60547631653,4360.17299850937,6750.486289901892,6777.554337179754,50.104724466725585,50.30029690580353,50.320676737051876,37.79524250421673,151.69795088586397,192.12822232977487,75.55841633243845,0,129.49432351160794,131.7881237308029,132.2022144892253,690.5898650293238,692.9102449270431,693.4583629819099,18.09587912829292,18.91095420146631,19.32575849478223,18.22663756320253,19.337569508934394,21.832220292417308,737.2644152891552,0
1024,32,96,65,6147.479775478132,12068.1174962956,12222.962192678824,7702.093917469028,13406.08662305749,13448.43783864053,50.116872259100234,50.240532836816726,50.250969955231994,37.79404901433736,154.5298020064365,192.13431340176612,76.11420273712777,0,236.74245196161792,245.60771879623644,246.80444768164307,928.3412030199543,935.98137475783,938.2514963683207,22.300877726651848,22.404718266296832,25.946309520382314,22.61039795121178,24.210642703110352,29.383548418991268,1095.6127509328892,0
1024,64,192,132,12847.180440032389,25156.756270612823,25604.270702074282,14401.943186006974,26713.551745488076,26829.401787611423,50.133359500191986,50.246790478817154,50.28410211111599,37.78638405492529,154.54951355350204,192.13818729738705,76.29217385118157,0,383.9186835102737,428.79151493543736,451.2107671855483,1286.6104134591296,1338.8929494132753,1342.560925600119,29.797855935495107,33.246593785494746,36.21176767564799,29.390654468443245,33.74203885905443,152.332030730322,1567.879883640943,0
2048,1,3,2,137.94795295689255,138.42565689701587,138.46811946947128,794.8653439525515,795.6067082006484,795.6726072449237,21.199771841507285,21.2002775778303,21.20032253217012,21.07030409388244,21.10929237678647,24.889120254665613,40.22766965396346,0,26.89837000798434,27.583455434069037,27.644351916387677,497.19415605068207,497.88137435680255,497.9424604284577,15.172506355860781,15.19316759508764,15.195004149685584,15.199488028883934,15.65905399620533,15.74582892935723,64.29265024725191,0
2048,4,12,5,326.33393950527534,545.7379233965185,547.3940398159903,1723.7183965044096,1782.002827920951,1783.6569551052526,45.07777766106771,48.97945955651061,48.995745176179035,38.17559755407274,83.13037881744094,173.49631795776077,71.83249246583169,0,76.16462296573445,86.9907115062233,87.18286394025199,567.8374160197563,578.0695454101078,578.1022954895161,15.87435056553072,16.005028823330516,16.06338984062595,15.936093986965716,16.742653551045805,17.12880901293829,221.49254769180183,0
2048,8,24,12,1166.0703389788978,2266.3377440941986,2271.485407783184,2761.1880064941943,3498.8990062498488,3504.1131329908967,49.70801385465048,51.471779172519035,51.47538823755308,38.175048015546054,159.1166753321886,200.1005920523312,73.09552559768292,0,106.99050349649042,132.73609872558154,133.2944527559448,634.6650124760345,645.2404110459611,645.3049811336678,17.019016531130838,17.56071696760163,17.809265777844214,16.672229510731995,17.61418104870245,44.96243471628987,399.26430372014113,0
2048,16,48,23,2891.7374605080113,5644.317728630267,5704.707062824164,4485.891553456895,6921.35786061408,6937.349166061031,51.34927719125464,51.575596814772354,51.670918543898175,38.17698545753956,160.57501104078256,203.96805931814015,73.79929359402428,0,226.72813449753448,230.00887577654794,230.41307082399726,792.2479254775681,795.1737031165976,796.2330348347314,18.241313404418648,21.777279439735256,22.24861334123078,18.627446959726512,19.75410946761258,22.632345483871163,641.702965791811,0
