# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
32,512,3840,cublaslt,10.592,371.24,0,0,0.001913729,0,0
32,512,3840,native_gemv_grid132,46.368,84.80,17,0.0009765625,0.001913729,0,0
32,512,3840,native_gemv_grid528,71.168,55.25,17,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk128_d3_s1,39.424,99.74,30,0.001953125,0.001913729,0,0
32,512,3840,transpose_bk256_d2_s1,31.616,124.37,30,0.001953125,0.001913729,0,0
32,512,3840,driver_transpose_bk128_d3_s1,35.744,110.01,30,0.001953125,0.001913729,0,0
32,512,3840,driver_transpose_bk256_d2_s1,33.248,118.27,30,0.001953125,0.001913729,0,0
32,512,3840,transpose_bk128_d3_s4,15.648,251.29,12,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk256_d2_s4,13.088,300.44,12,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk128_d3_s4,15.328,256.53,12,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk256_d2_s4,13.760,285.77,12,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk128_d3_s8,10.816,363.55,19,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk256_d2_s8,9.152,429.65,19,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk128_d3_s8,10.944,359.30,19,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk256_d2_s8,9.632,408.24,19,0.0009765625,0.001913729,0,0
32,2048,3840,cublaslt,13.344,1178.71,0,0,0.001091552,0,0
32,2048,3840,native_gemv_grid132,76.224,206.35,65,0.0009765625,0.001091552,0,0
32,2048,3840,native_gemv_grid528,86.240,182.38,65,0.0009765625,0.001091552,0,0
32,2048,3840,transpose_bk128_d3_s1,39.680,396.39,111,0.001953125,0.001091552,0,0
32,2048,3840,transpose_bk256_d2_s1,31.680,496.48,111,0.001953125,0.001091552,0,0
32,2048,3840,driver_transpose_bk128_d3_s1,36.128,435.36,111,0.001953125,0.001091552,0,0
32,2048,3840,driver_transpose_bk256_d2_s1,33.248,473.07,111,0.001953125,0.001091552,0,0
32,2048,3840,transpose_bk128_d3_s4,15.904,988.97,58,0.0009765625,0.001091552,0,0
32,2048,3840,transpose_bk256_d2_s4,15.104,1041.36,58,0.0009765625,0.001091552,0,0
32,2048,3840,driver_transpose_bk128_d3_s4,15.712,1001.06,58,0.0009765625,0.001091552,0,0
32,2048,3840,driver_transpose_bk256_d2_s4,15.360,1024.00,58,0.0009765625,0.001091552,0,0
32,2048,3840,transpose_bk128_d3_s8,14.560,1080.26,63,0.0009765625,0.001091552,0,0
32,2048,3840,transpose_bk256_d2_s8,13.920,1129.93,63,0.0009765625,0.001091552,0,0
32,2048,3840,driver_transpose_bk128_d3_s8,14.720,1068.52,63,0.0009765625,0.001091552,0,0
32,2048,3840,driver_transpose_bk256_d2_s8,14.464,1087.43,63,0.0009765625,0.001091552,0,0
32,3840,4096,cublaslt,15.328,2052.28,0,0,0.0009716576,0,0
32,3840,4096,native_gemv_grid132,115.584,272.16,248,0.00390625,0.0009716576,0,0
32,3840,4096,native_gemv_grid528,111.424,282.32,248,0.00390625,0.0009716576,0,0
32,3840,4096,transpose_bk128_d3_s1,42.304,743.60,0,0,0.0009716576,0,0
