========= COMPUTE-SANITIZER
# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 3 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
32,83,136,cublaslt,211.424,0.11,0,0,0.000243227,0,0
32,83,136,native_gemv_grid132,120.736,0.19,0,0,0.000243227,0,0
32,83,136,native_gemv_grid528,121.504,0.19,0,0,0.000243227,0,0
32,83,136,transpose_bk128_d3_s1,134.720,0.17,0,0,0.000243227,0,0
32,83,136,transpose_bk256_d2_s1,162.944,0.14,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk128_d3_s1,143.456,0.16,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk256_d2_s1,162.624,0.14,0,0,0.000243227,0,0
32,83,136,transpose_bk128_d3_s4,104.832,0.22,0,0,0.000243227,0,0
32,83,136,transpose_bk256_d2_s4,186.784,0.12,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk128_d3_s4,121.088,0.19,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk256_d2_s4,179.392,0.13,0,0,0.000243227,0,0
32,83,136,transpose_bk128_d3_s8,110.080,0.21,0,0,0.000243227,0,0
32,83,136,transpose_bk256_d2_s8,194.944,0.12,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk128_d3_s8,127.008,0.18,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk256_d2_s8,189.408,0.12,0,0,0.000243227,0,0
========= ERROR SUMMARY: 0 errors
