# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
32,512,3840,cublaslt,10.880,361.41,0,0,0.001913729,0,0
32,512,3840,native_gemv_grid132,46.400,84.74,17,0.0009765625,0.001913729,0,0
32,512,3840,native_gemv_grid528,70.720,55.60,17,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk128_d3_s1,38.912,101.05,30,0.001953125,0.001913729,0,0
32,512,3840,transpose_bk256_d2_s1,31.488,124.88,30,0.001953125,0.001913729,0,0
32,512,3840,driver_transpose_bk128_d3_s1,39.904,98.54,30,0.001953125,0.001913729,0,0
32,512,3840,driver_transpose_bk256_d2_s1,33.216,118.38,30,0.001953125,0.001913729,0,0
32,512,3840,transpose_bk128_d3_s4,15.712,250.26,12,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk256_d2_s4,13.408,293.27,12,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk128_d3_s4,16.800,234.06,12,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk256_d2_s4,13.760,285.77,12,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk128_d3_s8,10.848,362.48,19,0.0009765625,0.001913729,0,0
32,512,3840,transpose_bk256_d2_s8,9.632,408.24,19,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk128_d3_s8,11.680,336.66,19,0.0009765625,0.001913729,0,0
32,512,3840,driver_transpose_bk256_d2_s8,9.760,402.89,19,0.0009765625,0.001913729,0,0
32,2048,3840,cublaslt,13.056,1204.71,0,0,0.001091552,0,0
32,2048,3840,native_gemv_grid132,75.712,207.74,65,0.0009765625,0.001091552,0,0
32,2048,3840,native_gemv_grid528,85.600,183.75,65,0.0009765625,0.001091552,0,0
32,2048,3840,transpose_bk128_d3_s1,39.392,399.29,111,0.001953125,0.001091552,0,0
32,2048,3840,transpose_bk256_d2_s1,31.520,499.01,111,0.001953125,0.001091552,0,0
32,2048,3840,driver_transpose_bk128_d3_s1,40.448,388.86,111,0.001953125,0.001091552,0,0
32,2048,3840,driver_transpose_bk256_d2_s1,33.376,471.26,111,0.001953125,0.001091552,0,0
32,2048,3840,transpose_bk128_d3_s4,16.224,969.47,58,0.0009765625,0.001091552,0,0
32,2048,3840,transpose_bk256_d2_s4,15.168,1036.96,58,0.0009765625,0.001091552,0,0
