# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
1,512,3840,cublaslt,10.336,380.43,0,0,0.001910122,0,0
1,512,3840,native_gemv_grid132,10.496,374.63,0,0,0.001910122,0,0
1,512,3840,native_gemv_grid528,13.056,301.18,0,0,0.001910122,0,0
1,512,3840,existing_s1,37.120,105.93,0,0,0.001910122,0,0
1,512,3840,transpose_bk128_d3_s1,29.568,132.99,0,0,0.001910122,0,0
1,512,3840,transpose_bk256_d2_s1,22.560,174.30,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk128_d3_s1,23.744,165.61,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk256_d2_s1,22.752,172.83,0,0,0.001910122,0,0
1,512,3840,existing_s4,14.624,268.88,0,0,0.001910122,0,0
1,512,3840,transpose_bk128_d3_s4,13.376,293.97,0,0,0.001910122,0,0
1,512,3840,transpose_bk256_d2_s4,10.624,370.12,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk128_d3_s4,13.216,297.53,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk256_d2_s4,10.816,363.55,0,0,0.001910122,0,0
1,512,3840,existing_s8,11.392,345.17,0,0,0.001910122,0,0
1,512,3840,transpose_bk128_d3_s8,9.088,432.68,0,0,0.001910122,0,0
1,512,3840,transpose_bk256_d2_s8,8.768,448.47,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk128_d3_s8,9.120,431.16,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk256_d2_s8,9.056,434.20,0,0,0.001910122,0,0
2,512,3840,cublaslt,10.176,386.42,0,0,0.001910122,0,0
2,512,3840,native_gemv_grid132,13.408,293.27,0,0,0.001910122,0,0
2,512,3840,native_gemv_grid528,16.128,243.81,0,0,0.001910122,0,0
2,512,3840,existing_s1,37.632,104.49,0,0,0.001910122,0,0
2,512,3840,transpose_bk128_d3_s1,29.664,132.56,0,0,0.001910122,0,0
2,512,3840,transpose_bk256_d2_s1,22.752,172.83,0,0,0.001910122,0,0
2,512,3840,driver_transpose_bk128_d3_s1,23.744,165.61,0,0,0.001910122,0,0
2,512,3840,driver_transpose_bk256_d2_s1,22.752,172.83,0,0,0.001910122,0,0
2,512,3840,existing_s4,15.264,257.61,0,0,0.001910122,0,0
2,512,3840,transpose_bk128_d3_s4,13.344,294.68,0,0,0.001910122,0,0
2,512,3840,transpose_bk256_d2_s4,10.784,364.63,0,0,0.001910122,0,0
2,512,3840,driver_transpose_bk128_d3_s4,13.184,298.25,0,0,0.001910122,0,0
2,512,3840,driver_transpose_bk256_d2_s4,11.136,353.10,0,0,0.001910122,0,0
2,512,3840,existing_s8,11.776,333.91,0,0,0.001910122,0,0
2,512,3840,transpose_bk128_d3_s8,9.856,398.96,0,0,0.001910122,0,0
2,512,3840,transpose_bk256_d2_s8,8.832,445.22,0,0,0.001910122,0,0
2,512,3840,driver_transpose_bk128_d3_s8,9.408,417.96,0,0,0.001910122,0,0
2,512,3840,driver_transpose_bk256_d2_s8,9.056,434.20,0,0,0.001910122,0,0
4,512,3840,cublaslt,10.368,379.26,0,0,0.001867683,0,0
4,512,3840,native_gemv_grid132,14.560,270.07,0,0,0.001867683,0,0
4,512,3840,native_gemv_grid528,18.304,214.83,0,0,0.001867683,0,0
4,512,3840,existing_s1,38.304,102.66,1,7.629395e-06,0.001867683,0,0
4,512,3840,transpose_bk128_d3_s1,29.600,132.84,1,7.629395e-06,0.001867683,0,0
4,512,3840,transpose_bk256_d2_s1,22.592,174.05,1,7.629395e-06,0.001867683,0,0
4,512,3840,driver_transpose_bk128_d3_s1,23.712,165.83,1,7.629395e-06,0.001867683,0,0
4,512,3840,driver_transpose_bk256_d2_s1,22.784,172.58,1,7.629395e-06,0.001867683,0,0
4,512,3840,existing_s4,16.448,239.07,1,7.629395e-06,0.001867683,0,0
4,512,3840,transpose_bk128_d3_s4,13.376,293.97,1,7.629395e-06,0.001867683,0,0
4,512,3840,transpose_bk256_d2_s4,11.072,355.14,1,7.629395e-06,0.001867683,0,0
4,512,3840,driver_transpose_bk128_d3_s4,13.344,294.68,1,7.629395e-06,0.001867683,0,0
4,512,3840,driver_transpose_bk256_d2_s4,10.784,364.63,1,7.629395e-06,0.001867683,0,0
4,512,3840,existing_s8,12.448,315.89,0,0,0.001867683,0,0
4,512,3840,transpose_bk128_d3_s8,9.056,434.20,0,0,0.001867683,0,0
4,512,3840,transpose_bk256_d2_s8,8.896,442.01,0,0,0.001867683,0,0
4,512,3840,driver_transpose_bk128_d3_s8,9.408,417.96,0,0,0.001867683,0,0
4,512,3840,driver_transpose_bk256_d2_s8,9.024,435.74,0,0,0.001867683,0,0
8,512,3840,cublaslt,10.272,382.80,0,0,0.001867683,0,0
8,512,3840,native_gemv_grid132,14.912,263.69,1,1.525879e-05,0.001867683,0,0
8,512,3840,native_gemv_grid528,19.616,200.46,1,1.525879e-05,0.001867683,0,0
