# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
1,512,3840,cublaslt,10.592,371.24,0,0,0.001910122,0,0
1,512,3840,native_gemv_grid132,10.432,376.93,0,0,0.001910122,0,0
1,512,3840,native_gemv_grid528,13.024,301.92,0,0,0.001910122,0,0
1,512,3840,existing_s1,37.216,105.66,0,0,0.001910122,0,0
1,512,3840,transpose_bk128_d3_s1,29.440,133.57,0,0,0.001910122,0,0
1,512,3840,transpose_bk256_d2_s1,22.592,174.05,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk128_d3_s1,25.824,152.27,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk256_d2_s1,24.704,159.17,0,0,0.001910122,0,0
1,512,3840,existing_s4,15.488,253.88,0,0,0.001910122,0,0
1,512,3840,transpose_bk128_d3_s4,13.600,289.13,0,0,0.001910122,0,0
1,512,3840,transpose_bk256_d2_s4,10.976,358.25,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk128_d3_s4,13.984,281.19,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk256_d2_s4,11.360,346.14,0,0,0.001910122,0,0
1,512,3840,existing_s8,11.712,335.74,0,0,0.001910122,0,0
1,512,3840,transpose_bk128_d3_s8,9.472,415.14,0,0,0.001910122,0,0
1,512,3840,transpose_bk256_d2_s8,9.184,428.15,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk128_d3_s8,9.536,412.35,0,0,0.001910122,0,0
1,512,3840,driver_transpose_bk256_d2_s8,9.504,413.74,0,0,0.001910122,0,0
2,512,3840,cublaslt,10.592,371.24,0,0,0.001910122,0,0
2,512,3840,native_gemv_grid132,13.216,297.53,0,0,0.001910122,0,0
2,512,3840,native_gemv_grid528,16.288,241.41,0,0,0.001910122,0,0
2,512,3840,existing_s1,37.376,105.21,0,0,0.001910122,0,0
2,512,3840,transpose_bk128_d3_s1,29.312,134.15,0,0,0.001910122,0,0
2,512,3840,transpose_bk256_d2_s1,22.624,173.80,0,0,0.001910122,0,0
