==WARNING== Could not determine user home directory for section deployment.
==WARNING== Using "/opt/nvidia/nsight-compute/2026.1.0/target/linux-desktop-glibc_2_11_3-x64/../../sections" instead.
==WARNING== See https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#faq.
==PROF== Connected to process 127734 (/home/lava/plow/plans/gemma4-12b-roofline/packed_flash_packet_oracle_bits)
==PROF== Disconnected from process 127734
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","1851936"
"0","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"0","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum","sector","0"
"0","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum","sector","0"
"0","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","launch__registers_per_thread","register/thread","240"
"1","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","1921216"
"1","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"1","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"1","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum","sector","0"
"1","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum","sector","0"
"1","127734","packed_flash_packet_oracle_bits","127.0.0.1","plow_sm90a_pfattn_hd512","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","launch__registers_per_thread","register/thread","240"
