==WARNING== Could not determine user home directory for section deployment.
==WARNING== Using "/opt/nvidia/nsight-compute/2026.1.0/target/linux-desktop-glibc_2_11_3-x64/../../sections" instead.
==WARNING== See https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#faq.
==PROF== Connected to process 100996 (/home/lava/plow/plans/gemma4-12b-roofline/packed_flash_tma_profile)
==WARNING== Unable to access the following 6 metrics: ctc__rx_bytes_data_user.sum, ctc__rx_bytes_data_user.sum.pct_of_peak_sustained_elapsed, ctc__rx_bytes_data_user.sum.per_second, ctc__tx_bytes_data_user.sum, ctc__tx_bytes_data_user.sum.pct_of_peak_sustained_elapsed, ctc__tx_bytes_data_user.sum.per_second.


HD=256 KV=8 window=1024 maps=0 checked=4608 worst_relL2=0.00267912 max_abs=0.00110828 warm_us=nan PASS
HD=512 KV=1 window=0 maps=0 checked=9216 worst_relL2=0.00252794 max_abs=0.00117296 warm_us=nan PASS
HD=512 KV=1 window=0 maps=0 checked=9216 worst_relL2=0.00252794 max_abs=0.00117694 warm_us=nan PASS
HD=256 KV=8 window=1024 maps=1 checked=4608 worst_relL2=0.00267912 max_abs=0.00110828 warm_us=nan PASS
HD=512 KV=1 window=0 maps=1 checked=9216 worst_relL2=0.00252794 max_abs=0.00117296 warm_us=nan PASS
HD=512 KV=1 window=0 maps=1 checked=9216 worst_relL2=0.00252794 max_abs=0.00117694 warm_us=nan PASS
==PROF== Disconnected from process 100996
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Frequency","hz","2617749721.50",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Frequency","hz","1948476083.83",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","170542",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Memory Throughput","%","4.43",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Throughput","%","3.59",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Duration","ns","86176",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","28.19",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","6.36",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","26362.99",
"0","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<256, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","6.70",
