========= COMPUTE-SANITIZER
PASS rows=128 HD=256 heads=8: ragged slots, ring wrap, untouched KV, query padding
PASS rows=128 HD=512 heads=1: ragged slots, ring wrap, untouched KV, query padding
PASS rows=512 HD=256 heads=8: ragged slots, ring wrap, untouched KV, query padding
PASS rows=512 HD=512 heads=1: ragged slots, ring wrap, untouched KV, query padding
PASS rows=1024 HD=256 heads=8: ragged slots, ring wrap, untouched KV, query padding
PASS rows=1024 HD=512 heads=1: ragged slots, ring wrap, untouched KV, query padding
PASS rows=2048 HD=256 heads=8: ragged slots, ring wrap, untouched KV, query padding
PASS rows=2048 HD=512 heads=1: ragged slots, ring wrap, untouched KV, query padding
PASS rows=4096 HD=256 heads=8: ragged slots, ring wrap, untouched KV, query padding
PASS rows=4096 HD=512 heads=1: ragged slots, ring wrap, untouched KV, query padding
PASS rows=8192 HD=256 heads=8: ragged slots, ring wrap, untouched KV, query padding
PASS rows=8192 HD=512 heads=1: ragged slots, ring wrap, untouched KV, query padding
========= ERROR SUMMARY: 0 errors
