Generating SQLite file plans/gemma4-12b-roofline/vllm-bf16-launch.1.sqlite from plans/gemma4-12b-roofline/vllm-bf16-launch.1.nsys-rep
Processing [plans/gemma4-12b-roofline/vllm-bf16-launch.1.sqlite] with [/usr/local/cuda-13.0/nsight-systems-2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.6,13676624,48,284929.7,284769.0,283521,287137,731.0,nvjet_sm90_tst_320x128_64x3_1x2_h_bz_coopB_TNT
21.1,9155232,96,95367.0,110560.0,41664,143489,48537.4,nvjet_sm90_tst_256x128_64x4_1x4_h_bz_coopA_TNT
9.0,3910573,48,81470.3,81377.0,80352,85089,774.6,nvjet_sm90_tst_384x8_64x4_4x1_v_bz_TNT
7.0,3027083,40,75677.1,75584.0,75328,77888,406.6,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT
5.0,2168968,56,38731.6,41008.5,24480,42752,5703.6,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT
4.3,1875815,80,23447.7,23360.0,12000,35296,11345.5,kernel_cutlass_kernel_vllmvllm_flash_attncuteflash_fwd_sm90FlashAttentionForwardSm90_object_at__tensor000o211121021_tensorptrbf16gmemalign16oi64div81i64div8i64div8_tensorptrbf16gmemalign1_0
3.4,1476615,96,15381.4,15184.0,1664,29889,13692.4,triton_poi_fused_gelu_mul_slice_1
3.1,1352293,2,676146.5,676146.5,666658,685635,13418.8,nvjet_sm90_tst_512x8_64x3_2x1_v_bz_TNT
3.0,1282851,94,13647.4,13056.0,1856,29920,9389.1,triton_red_fused_3
2.1,930819,96,9696.0,9440.0,5056,14976,4238.2,triton_red_fused_add_mul_rms_norm_2
2.1,920931,40,23023.3,22912.0,22656,24320,371.2,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT
1.6,692610,96,7214.7,7264.0,4832,9696,2071.4,triton_red_fused_add_rms_norm_0
1.6,690979,8,86372.4,86480.0,85857,86816,375.9,nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT
1.2,514177,40,12854.4,12720.0,12416,13920,364.1,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT
1.1,485185,8,60648.1,60416.0,60224,62080,600.1,kernel_cutlass_kernel_vllmvllm_flash_attncuteflash_fwd_sm90FlashAttentionForwardSm90_object_at__tensor000o16111210161_tensor0000o11101213_tensor0000o11101213_tensor0000o161073741824214748_0
1.0,433315,96,4513.7,4736.0,1984,7648,2358.4,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
0.5,204705,8,25588.1,25536.0,25216,26304,339.1,nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT
