shape,control_ms,candidate_ms,latency_reduction_pct,candidate_speedup_vs_lt
gemma_down,0.20385,0.13865,31.984302182977686,0.32535000000000003
gemma_q,0.06135,0.044950000000000004,26.731866340668297,0.56345
gemma_o,0.10835,0.07550000000000001,30.318412551915085,0.3647
g31_down,0.29974999999999996,0.20235,32.49374478732277,0.40475
g31_q,0.16265000000000002,0.11535000000000001,29.08084844758685,0.5327
g31_o,0.2233,0.1534,31.30317957904164,0.3972
m16_k64,0.0035,0.00355,-1.4285714285714235,1.0861
m16_k192,0.005050000000000001,0.0051,-0.990099009900991,0.9832
m16_k128,0.0045,0.0045000000000000005,-2.220446049250313e-14,0.9633
a_or_b,0.01975,0.019950000000000002,-1.0126582278481067,0.37485
qkv,0.1428,0.0983,31.162464985994408,0.40049999999999997
z,0.07744999999999999,0.0541,30.1484828921885,0.4746
gdn_out,0.0884,0.061200000000000004,30.76923076923077,0.4178
q_full,0.14665,0.10314999999999999,29.662461643368577,0.44084999999999996
k_or_v,0.0649,0.0427,34.20647149460708,0.22845
gate_or_up,0.2148,0.14955000000000002,30.37709497206703,0.4212
down,0.24125,0.16360000000000002,32.18652849740932,0.39044999999999996
lm_head,2.26025,1.5739999999999998,30.3616856542418,0.51925
fused_ba,0.0205,0.0207,-0.9756097560975618,0.3724
fused_qkvz,0.156,0.11005000000000001,29.4551282051282,0.5344
fused_qkv,0.1526,0.10665,30.111402359108787,0.48975
fused_gtup,0.36775,0.25465,30.75458871515976,0.4739
