repeat,variant,batch,ctx,latency_us_median,latency_us_p95,prefill_ms_median,prefill_ms_p95,prefill_tok_s,tok_s
1,coarse,1,1024,489.48,498.73,5.492,5.571,186462.9,2043.0
1,coarse,1,4096,516.28,525.21,34.499,35.345,118727.8,1936.9
1,coarse,1,8192,551.61,558.37,106.655,114.605,76808.1,1812.9
1,coarse,1,32768,758.71,764.83,1347.839,1371.928,24311.5,1318.0
1,isolated,1,1024,489.55,498.37,5.538,5.624,184901.3,2042.7
1,isolated,1,4096,516.89,524.64,34.652,35.378,118202.2,1934.6
1,isolated,1,8192,551.22,558.58,107.563,108.743,76160.3,1814.2
1,isolated,1,32768,757.88,765.81,1352.051,1373.283,24235.8,1319.5
1,role,1,1024,490.32,497.6,4.252,4.261,240848.1,2039.5
1,role,1,4096,518.91,526.35,17.297,17.336,236807.0,1927.1
1,role,1,8192,551.82,557.88,39.141,39.23,209297.2,1812.2
1,role,1,32768,757.53,767.03,245.021,245.191,133735.4,1320.1
2,coarse,1,1024,490.12,496.66,5.479,5.58,186906.4,2040.3
2,coarse,1,4096,517.02,524.31,34.683,35.764,118098.2,1934.2
2,coarse,1,8192,551.68,559.07,107.378,114.064,76291.3,1812.6
2,coarse,1,32768,757.63,765.1,1350.338,1366.349,24266.5,1319.9
2,isolated,1,1024,489.53,496.22,5.565,5.646,183998.9,2042.8
2,isolated,1,4096,516.16,523.6,34.496,34.891,118737.0,1937.4
2,isolated,1,8192,551.07,559.27,106.861,113.793,76660.5,1814.6
2,isolated,1,32768,757.8,765.45,1349.46,1365.833,24282.3,1319.6
2,role,1,1024,491.19,499.17,4.258,4.269,240462.3,2035.9
2,role,1,4096,517.01,525.4,17.295,17.351,236830.0,1934.2
2,role,1,8192,551.61,558.15,39.173,39.22,209126.1,1812.9
2,role,1,32768,758.67,764.95,245.035,245.143,133727.9,1318.1
