repeat,layer,mode,batch,ctx,latency_us_median,latency_us_p95,prefill_ms_median,prefill_ms_p95,prefill_tok_s,tok_s
1,0,coarse,1,1024,491.03,497.38,3.307,3.317,309666.6,2036.5
1,0,coarse,1,4096,492.31,496.77,11.796,11.82,347228.8,2031.2
1,0,coarse,1,8192,491.59,497.39,23.241,23.29,352487.4,2034.2
1,0,coarse,1,32768,492.49,498.29,92.868,92.95,352846.2,2030.5
1,0,isolated,1,1024,491.57,499.35,3.44,3.459,297664.5,2034.3
1,0,isolated,1,4096,491.46,500.22,11.948,11.991,342806.0,2034.7
1,0,isolated,1,8192,490.34,497.96,23.372,23.432,350507.6,2039.4
1,0,isolated,1,32768,491.32,499.9,93.412,93.581,350791.4,2035.3
1,0,role,1,1024,490.63,500.64,3.094,3.114,330996.6,2038.2
1,0,role,1,4096,490.93,497.88,10.739,10.774,381426.2,2036.9
1,0,role,1,8192,491.27,500.27,20.84,20.882,393085.8,2035.5
1,0,role,1,32768,491.34,498.52,83.213,83.311,393784.3,2035.2
1,3,coarse,1,1024,491.58,498.42,5.671,5.747,180564.5,2034.3
1,3,coarse,1,4096,517.87,525.51,35.884,37.95,114145.3,1931.0
1,3,coarse,1,8192,552.46,558.86,109.759,117.307,74636.1,1810.1
1,3,coarse,1,32768,758.85,765.32,1365.243,1385.986,24001.6,1317.8
1,3,isolated,1,1024,491.39,496.53,5.813,5.881,176162.1,2035.0
1,3,isolated,1,4096,517.2,526.16,35.834,37.862,114304.2,1933.5
1,3,isolated,1,8192,551.12,558.16,109.816,117.343,74597.3,1814.5
1,3,isolated,1,32768,758.7,765.74,1359.42,1374.371,24104.4,1318.1
1,3,role,1,1024,490.4,498.52,5.516,5.58,185625.6,2039.2
1,3,role,1,4096,517.7,526.18,34.587,35.321,118425.7,1931.6
1,3,role,1,8192,551.46,558.24,107.241,110.282,76388.9,1813.4
1,3,role,1,32768,757.85,768.96,1349.265,1373.741,24285.8,1319.5
2,0,coarse,1,1024,490.79,498.52,3.315,3.338,308910.9,2037.5
2,0,coarse,1,4096,492.28,504.04,11.824,11.846,346414.2,2031.4
2,0,coarse,1,8192,490.2,499.16,23.225,23.245,352730.9,2040.0
2,0,coarse,1,32768,490.62,498.73,92.829,92.948,352991.7,2038.2
2,0,isolated,1,1024,490.58,499.84,3.43,3.444,298532.3,2038.4
2,0,isolated,1,4096,490.59,498.51,11.928,11.954,343383.0,2038.4
2,0,isolated,1,8192,490.51,497.56,23.347,23.387,350881.1,2038.7
2,0,isolated,1,32768,506.14,514.28,93.361,93.526,350982.3,1975.7
2,0,role,1,1024,489.42,497.66,3.072,3.098,333288.2,2043.2
2,0,role,1,4096,489.15,496.74,10.713,10.741,382339.8,2044.4
2,0,role,1,8192,489.58,496.61,20.802,20.828,393816.8,2042.6
2,0,role,1,32768,490.74,498.81,83.057,83.212,394523.9,2037.7
2,3,coarse,1,1024,490.45,496.68,5.664,5.744,180777.8,2038.9
2,3,coarse,1,4096,517.76,525.18,35.549,37.363,115222.4,1931.4
2,3,coarse,1,8192,551.95,561.73,110.191,113.417,74343.9,1811.8
2,3,coarse,1,32768,758.05,765.99,1362.034,1378.414,24058.1,1319.2
2,3,isolated,1,1024,491.49,501.47,5.811,5.842,176215.2,2034.6
2,3,isolated,1,4096,516.7,525.48,35.787,37.888,114455.5,1935.4
2,3,isolated,1,8192,551.82,558.0,110.475,116.276,74152.2,1812.2
2,3,isolated,1,32768,760.72,768.03,1364.4,1386.296,24016.4,1314.5
2,3,role,1,1024,491.66,497.74,5.503,5.593,186084.4,2033.9
2,3,role,1,4096,516.16,524.14,34.799,36.215,117705.8,1937.4
2,3,role,1,8192,553.19,561.85,107.149,113.631,76454.6,1807.7
2,3,role,1,32768,759.79,766.82,1351.937,1381.041,24237.8,1316.2
