M,N,K,projection,stage3_us,stage2_us,cutlass_stage3_run_us,cutlass_stage2_run_us,stage2_over_stage3,bit_exact
1024,48,5120,a_or_b,35.87200120091438,61.08799949288368,18.52799952030182,18.48000008612871,1.7029437290308336,True
1024,10240,5120,qkv,211.39199286699295,332.28799700737,79.9039974808693,80.09599894285202,1.5719043682815572,True
1024,6144,5120,z,129.2319968342781,201.88800245523453,49.95200037956238,49.48800057172775,1.5622137504702303,True
1024,5120,6144,gdn_out,143.0559977889061,231.6800057888031,56.2720000743866,56.352000683546066,1.619505713634397,True
1024,12288,5120,q_full,245.95200270414352,389.20000195503235,94.27199885249138,95.29600292444229,1.582422577071683,True
1024,1024,5120,k_or_v,45.11999897658825,70.3199990093708,20.400000736117363,20.38400061428547,1.5585106516925735,True
1024,17408,5120,gate_or_up,361.1840009689331,569.4719851016998,140.52800089120865,139.8399993777275,1.5766810921137187,True
1024,5120,17408,down,323.4559893608093,577.6959955692291,156.3360020518303,157.088004052639,1.786011125380089,True
1024,1024,640,k_tail_128,20.175999961793423,22.624000906944275,8.991999551653862,9.008000139147043,1.121332323046518,True
1024,1024,528,k_tail_16,20.767999812960625,23.423999547958374,9.871999733150005,9.744000155478716,1.127889048484112,True
4096,48,5120,a_or_b,38.39999996125698,61.55199930071831,21.263999864459038,21.088000386953354,1.602916650073441,True
4096,10240,5120,qkv,785.5039834976196,1200.8960247039795,334.9599987268448,335.63199639320374,1.5288223229075688,True
4096,6144,5120,z,474.88000988960266,732.367992401123,202.2560015320778,202.27199792861938,1.5422169330129936,True
4096,5120,6144,gdn_out,449.5839923620224,731.471985578537,206.64000511169434,206.96000009775162,1.6269973976064689,True
4096,12288,5120,q_full,918.8800156116486,1400.048017501831,401.2160003185272,399.56799149513245,1.5236461711161442,True
4096,1024,5120,k_or_v,85.02399921417236,127.72800028324127,40.111999958753586,39.952000603079796,1.5022582031397875,True
4096,17408,5120,gate_or_up,1281.1039686203003,1957.103967666626,555.9520125389099,554.4160008430481,1.527669896904895,True
4096,5120,17408,down,1054.975986480713,1941.8079853057861,583.7439894676208,574.5919942855835,1.8406181848588326,True
4096,1024,640,k_tail_128,36.67199984192848,40.24000093340874,12.543999589979649,12.384000234305859,1.0972949691006713,True
4096,1024,528,k_tail_16,36.57599911093712,41.63200035691261,14.08000010997057,13.983999844640493,1.1382327583353322,True
8192,48,5120,a_or_b,44.863998889923096,66.39999896287918,30.672000721096992,31.039999797940254,1.4800285441740524,True
8192,10240,5120,qkv,1526.3839960098267,2339.727997779846,668.5760021209717,669.0079867839813,1.5328567410928118,True
8192,6144,5120,z,937.9200041294098,1407.1679711341858,390.064001083374,389.9199962615967,1.500307025054166,True
8192,5120,6144,gdn_out,890.6559944152832,1389.456033706665,370.9920048713684,370.60800194740295,1.5600366947721995,True
8192,12288,5120,q_full,1797.4879741668701,2775.439977645874,802.1279871463776,802.159994840622,1.544065950667782,True
8192,1024,5120,k_or_v,168.92800480127335,257.26398825645447,74.0319974720478,74.35199990868568,1.5229208949640969,True
8192,17408,5120,gate_or_up,2527.359962463379,3867.535948753357,1119.9359893798828,1122.0319867134094,1.5302671586930296,True
8192,5120,17408,down,2143.072009086609,3903.9039611816406,1016.0800218582153,1017.5199508666992,1.8216391911373568,True
8192,1024,640,k_tail_128,61.503998935222626,68.44799965620041,19.360000267624855,19.311999902129173,1.112903239483523,True
8192,1024,528,k_tail_16,60.095999389886856,70.44799998402596,21.616000682115555,21.727999672293663,1.1722577326150794,True
