model,repeat,input_tokens,output_tokens,concurrency,max_model_len,completed,failed,mean_ttft_ms,median_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_itl_ms,mean_e2el_ms,output_throughput,request_throughput
gemma12b,2,1024,512,1,65536,32,0,47.063576377695426,47.2660114755854,10.61896058793246,10.6188209608713,11.527171886409633,5473.352436811183,93.5392736373479,0.18269389382294512
gemma12b,2,1024,512,4,65536,32,0,129.52631872394704,150.54472201154567,11.050920444710831,11.006331864009484,12.016219979850575,5776.546665971182,354.49971820311043,0.6923822621154501
gemma12b,2,1024,512,16,65536,32,0,439.54307184321806,551.0925564740319,12.84434503144503,12.579856602745696,13.586036304477602,7003.003382911629,1168.4383986593773,2.2821062473815963
gemma12b,2,4096,512,1,65536,32,0,172.85470303431794,173.43199500464834,10.645840726767611,10.646127678037926,11.467081516166218,5612.879314412567,91.21470834224753,0.1781537272309522
gemma12b,2,4096,512,4,65536,32,0,470.4883474696544,541.5030019939877,11.36659326063286,11.225572866847859,12.134620120632462,6278.817503653045,326.11059319408656,0.6369347523322003
gemma12b,2,4096,512,16,65536,32,0,1337.8397761862288,1279.1237634664867,15.045477187201982,15.150728900158239,13.943629090208557,9026.07861884644,905.1408703450237,1.7678532623926244
gemma12b,2,8192,512,1,65536,32,0,362.9432905236172,353.75167449819855,10.666817430472562,10.673450269094355,12.500337673118329,5813.686997495097,88.06307484463498,0.1719981930559277
gemma12b,2,8192,512,4,65536,32,0,996.5750854989892,1152.7771455002949,11.793390561463525,11.487041753427437,12.215874396497384,7022.997662406851,291.5089089516712,0.5693533377962328
gemma12b,2,8192,512,16,65536,32,0,2301.6517802898306,1653.132370498497,18.71719038239437,19.90037996375682,325.9784681827295,11866.136065693354,687.799712916039,1.3433588142891386
gemma12b,2,16384,512,1,65536,32,0,749.7900670932722,750.7054840098135,10.724309447527645,10.724295730966393,11.635572210652754,6229.912194779899,82.18092289587157,0.16050961503099917
gemma12b,2,16384,512,4,65536,32,0,1970.9413176915405,2130.6217500241473,13.046838550568769,12.73872372407262,12.50685869017616,8637.875817032182,236.9748412860633,0.4628414868868424
gemma12b,2,16384,512,16,65536,32,0,4516.920924907026,2860.732681991067,26.862873875924112,29.923486049980045,368.6659203993622,18243.84947550425,446.80321525249093,0.8726625297900213
gemma12b,2,32768,512,1,65536,32,0,1738.0947065958026,1747.1300385077484,10.78655887316546,10.78430151372306,11.754237844143061,7250.026290783353,70.61813102026656,0.13792603714895812
gemma12b,2,32768,512,4,65536,32,0,4317.398217839582,4486.293563968502,16.00321264182273,15.676052705521482,338.4919442521641,12495.039877810996,163.7923318845056,0.319906898211925
gemma12b,2,32768,512,16,65536,32,0,9642.516941497888,5309.99496797449,46.687579844116776,54.875057908000585,491.07765063934494,33499.87024184156,243.17104190437436,0.4749434412194812
