model,repeat,input_tokens,output_tokens,concurrency,max_model_len,completed,failed,mean_ttft_ms,median_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_itl_ms,mean_e2el_ms,output_throughput,request_throughput
qwen27b,1,1024,512,1,65536,32,0,103.08561315832776,102.09396301070228,20.043678682730835,20.04392082388777,20.948415221646428,10345.405420033785,49.48919509798344,0.09665858417574891
qwen27b,1,1024,512,4,65536,32,0,312.86480431299424,341.30822448059916,20.958485239727146,20.900891883558014,21.816738382331096,11022.650761813566,185.78426379604315,0.3628598902266468
qwen27b,1,1024,512,16,65536,32,0,1131.808676309447,1164.8312479956076,23.16418072125423,23.104408928528045,23.73365607112646,12968.70502487036,630.9165022441772,1.2322587934456586
qwen27b,1,4096,512,1,65536,32,0,373.74402097339043,368.6935059959069,20.124683818009743,20.12336377979169,25.620103395194743,10657.45745197637,48.03977844703918,0.0938276922793734
qwen27b,1,4096,512,4,65536,32,0,1060.947073812713,1144.7817085136194,21.750387191349173,21.461293445146,23.50710320752114,12175.39492859214,168.15205716362757,0.3284219866477101
qwen27b,1,4096,512,16,65536,32,0,2785.414269024841,2507.1480635087937,28.80795214177264,29.484737336630122,100.2030734007398,17506.27781347066,466.7264312515274,0.9115750610381395
qwen27b,1,8192,512,1,65536,32,0,695.932799622824,696.2026135006454,20.218983516931168,20.21890057727226,21.141623873263597,11027.833376774652,46.426890133898425,0.09067751979277036
qwen27b,1,8192,512,4,65536,32,0,2157.9167260388203,2413.9422305161133,22.6996331274376,22.192480228932432,22.506805853918195,13757.429254159433,148.82051726561318,0.29066507278440074
qwen27b,1,8192,512,16,65536,32,0,4721.735956438351,2786.7302444938105,37.3379590640225,40.910656491206566,691.6130111250095,23801.433038153846,342.96449064214244,0.6698525207854344
qwen27b,1,16384,512,1,65536,32,0,1495.7183428432472,1488.205299479887,20.39317623623843,20.399471301389056,22.875557914376255,11916.631399561084,42.963917387614245,0.08391390114768407
qwen27b,1,16384,512,4,65536,32,0,3885.1521554424835,3959.4144054863136,25.69679680889076,25.555111366914634,23.246610665228218,17016.215324785662,120.29818474140401,0.23495739207305472
qwen27b,1,16384,512,16,65536,32,0,10363.78863484606,5755.779962521046,56.48251571586662,63.017524701555445,756.5163646708243,39226.3541656539,187.45539940183153,0.3661238269567022
qwen27b,1,32768,512,1,65536,32,0,3121.030548691124,3120.840067480458,20.732467977060892,20.733169924605406,21.592089222976938,13715.32168496924,37.32985188306535,0.07290986695911202
qwen27b,1,32768,512,4,65536,32,0,7243.449187993974,7209.516881528543,32.87501384136227,32.96316087479683,726.7764307215111,24042.581260930092,85.12357594684448,0.16625698427118063
qwen27b,1,32768,512,16,65536,32,0,37500.60024687082,41990.67269449006,60.11000277404169,64.41477854108965,796.6004628973315,68216.81166440612,108.88010781410708,0.21265646057442789
