m,shape,repeat,control_ms,cursor_ms,latency_reduction_pct,cursor_speedup_vs_lt
1024,g12_o_local,1,0.0548,0.0529,3.4671532846715314,0.8475
1024,g12_o_full,1,0.0957,0.0925,3.3437826541274807,0.9076
1024,g12_down,1,0.171,0.1602,6.315789473684208,0.9587
1024,g31_o_local,1,0.1865,0.1747,6.327077747989273,0.6619
1024,g31_o_full,1,0.3562,0.3299,7.383492419988769,0.6866
1024,g31_down,1,0.4603,0.4347,5.561590267217031,0.6797
1024,qwen_o,1,0.1447,0.1351,6.634416033172075,0.6161
1024,qwen_down,1,0.3826,0.358,6.429691583899633,0.6341
1024,tail,1,0.0239,0.0248,-3.7656903765690197,1.2925
1024,g12_q_local,1,0.0527,0.0511,3.0360531309297834,0.8476
1024,g12_q_full,1,0.1004,0.0968,3.585657370517936,0.8636
1024,g12_gate,1,0.1939,0.1852,4.486848891181017,0.8618
1024,g31_q_local,1,0.1324,0.1271,4.0030211480362565,0.9031
1024,g31_q_full,1,0.2609,0.2492,4.484476811038718,0.9163
1024,g31_gate,1,0.3778,0.3614,4.340921122286934,0.8511
1024,g12_o_local,2,0.055,0.0526,4.363636363636358,0.8538
1024,g12_o_full,2,0.0962,0.0918,4.573804573804563,0.9135
1024,g12_down,2,0.1718,0.1604,6.635622817229347,0.9574
1024,g31_o_local,2,0.1865,0.1748,6.273458445040204,0.6636
1024,g31_o_full,2,0.3556,0.3324,6.524184476940398,0.6834
1024,g31_down,2,0.4638,0.4246,8.451918930573521,0.6973
1024,qwen_o,2,0.1429,0.1369,4.198740377886634,0.6083
1024,qwen_down,2,0.3845,0.3509,8.738621586475947,0.6486
1024,tail,2,0.0241,0.0242,-0.4149377593360981,1.3088
1024,g12_q_local,2,0.0525,0.0507,3.4285714285714253,0.853
1024,g12_q_full,2,0.1006,0.0967,3.876739562624254,0.8643
1024,g12_gate,2,0.1938,0.1853,4.385964912280704,0.8626
1024,g31_q_local,2,0.1324,0.127,4.0785498489425915,0.9028
1024,g31_q_full,2,0.2615,0.2504,4.244741873804969,0.9131
1024,g31_gate,2,0.3778,0.3613,4.36739015352039,0.8507
4096,g12_o_local,1,0.2033,0.193,5.0664043285784555,0.8496
4096,g12_o_full,1,0.378,0.3552,6.0317460317460325,0.9192
4096,g12_down,1,0.6865,0.646,5.899490167516386,1.0189
4096,g31_o_local,1,0.5547,0.5261,5.155940147827643,0.8712
4096,g31_o_full,1,1.0811,1.0316,4.578669873277208,0.9625
4096,g31_down,1,1.4243,1.3376,6.087200730183251,0.9065
4096,qwen_o,1,0.3664,0.349,4.7489082969432435,0.918
4096,qwen_down,1,0.984,0.9324,5.243902439024383,1.0505
4096,tail,1,0.089,0.086,3.370786516853941,1.3824
4096,g12_q_local,1,0.1929,0.1852,3.9917055469154916,0.8888
4096,g12_q_full,1,0.3808,0.3673,3.5451680672268893,0.8912
4096,g12_gate,1,0.711,0.6861,3.502109704641343,0.9778
4096,g31_q_local,1,0.5158,0.4906,4.885614579294306,1.0078
4096,g31_q_full,1,1.0318,0.9833,4.700523357239783,1.0149
4096,g31_gate,1,1.3619,1.3035,4.288126881562526,1.0239
4096,g12_o_local,2,0.2033,0.1932,4.968027545499265,0.8455
4096,g12_o_full,2,0.3795,0.3564,6.086956521739129,0.9079
4096,g12_down,2,0.6901,0.6483,6.057093174902195,0.9845
4096,g31_o_local,2,0.5548,0.5276,4.902667627974044,0.8598
4096,g31_o_full,2,1.0877,1.0144,6.738990530477151,0.9395
4096,g31_down,2,1.4459,1.3434,7.089010305000354,0.9421
4096,qwen_o,2,0.3674,0.3484,5.171475231355471,0.9453
4096,qwen_down,2,0.9828,0.9294,5.433455433455436,1.0783
4096,tail,2,0.0872,0.0877,-0.5733944954128489,1.3571
4096,g12_q_local,2,0.1933,0.1854,4.0869115364718045,0.8869
4096,g12_q_full,2,0.3818,0.3685,3.483499214248287,0.8923
4096,g12_gate,2,0.7139,0.6848,4.076201148620262,0.9566
4096,g31_q_local,2,0.5157,0.4906,4.867170835757239,0.9964
4096,g31_q_full,2,1.0328,0.984,4.725019364833461,1.0576
4096,g31_gate,2,1.3743,1.316,4.242159644910137,1.008
8192,g12_o_local,1,0.4019,0.3843,4.379198805673057,0.8421
8192,g12_o_full,1,0.7591,0.7223,4.847846133579237,0.9845
8192,g12_down,1,1.4005,1.3336,4.776865405212439,0.9784
8192,g31_o_local,1,1.0575,1.0039,5.068557919621752,0.9689
8192,g31_o_full,1,2.077,2.0222,2.638420799229646,0.9692
8192,g31_down,1,2.7785,2.6434,4.862335792693894,1.206
8192,qwen_o,1,0.7341,0.6965,5.121917994823589,1.0131
8192,qwen_down,1,1.9971,1.9706,1.326924039857802,1.0297
8192,tail,1,0.1717,0.1703,0.815375655212569,1.6313
8192,g12_q_local,1,0.3814,0.365,4.299947561615114,0.913
8192,g12_q_full,1,0.7637,0.7504,1.7415215398716932,0.9495
8192,g12_gate,1,1.4238,1.3538,4.916420845624392,1.0016
8192,g31_q_local,1,1.035,0.9888,4.463768115942024,1.044
8192,g31_q_full,1,2.1207,2.0463,3.5082755693874534,1.0092
8192,g31_gate,1,2.7863,2.7015,3.043462656569662,1.175
8192,g12_o_local,2,0.4019,0.3829,4.727544165215214,0.8405
8192,g12_o_full,2,0.7576,0.7154,5.570221752903903,0.971
8192,g12_down,2,1.4001,1.3322,4.849653596171688,0.9942
8192,g31_o_local,2,1.0486,0.99,5.588403585733359,0.9973
8192,g31_o_full,2,2.0793,2.0089,3.385754821334097,1.0345
8192,g31_down,2,2.834,2.6982,4.791813690896262,1.1533
8192,qwen_o,2,0.7294,0.6933,4.949273375377028,0.9726
8192,qwen_down,2,1.9897,1.9532,1.8344474041312786,1.0124
8192,tail,2,0.1709,0.1753,-2.574605032182564,1.3282
8192,g12_q_local,2,0.3818,0.3643,4.5835515976951235,0.8976
8192,g12_q_full,2,0.7611,0.7369,3.1796084614373887,0.9831
8192,g12_gate,2,1.3907,1.3728,1.2871215934421532,1.0124
8192,g31_q_local,2,1.0334,0.9837,4.809367137604037,1.03
8192,g31_q_full,2,2.0789,2.0187,2.895762181923134,1.019
